# MEX_intpoint_lon [deg], MEX_intpoint_lat [deg], MEX_intpoint_angle [deg], TGO_intpoint_lon [deg], TGO_intpoint_lat [deg], TGO_intpoint_angle [deg] 
177.8179010147409, -45.06198680021385, 45.71592415485288, 170.28246860493786, -60.24735628426916, 64.05380180727668 
178.80319428986257, -44.95808938330229, 45.71655288916633, 171.04882392269946, -60.02333134772266, 64.05612650046764 
179.78674313360628, -44.8544148156313, 45.71718031191635, 171.8118524649729, -59.800895949145676, 64.05844540395957 
-179.23143263059373, -44.75099321644398, 45.71780623246179, 172.57166651510022, -59.58008254486296, 64.0607578154212 
-178.25131292459147, -44.64785447340808, 45.71843046164739, 173.32837451976172, -59.36092303829768, 64.0630630391525 
-177.27287743365798, -44.54502823738549, 45.719052811858724, 174.0820812352955, -59.14344879662982, 64.06536038628107 
-176.296105624103, -44.442543917382295, 45.719673097075145, 174.8328878677163, -58.927690666454154, 64.0676491749506 
-175.32097676038924, -44.340430675673325, 45.72029113292121, 175.58089220671286, -58.71367898849056, 64.06992873050179 
-174.34746992173814, -44.23871742309477, 45.72090673671619, 176.32618875389423, -58.50144361139682, 64.07219838564524 
-173.3755640182281, -44.137432814499135, 45.72151972752196, 177.06886884554282, -58.29101390473103, 64.07445748062688 
-172.40523780638577, -44.03660524436614, 45.722129926189055, 177.80902077012536, -58.08241877110791, 64.07670536338554 
-171.43646990427285, -43.93626284256424, 45.722737155401035, 178.54672988079875, -57.87568665759139, 64.07894138970268 
-170.46923880607076, -43.83643347025655, 45.72334123971703, 179.2820787031418, -57.67084556636289, 64.08116492334445 
-169.50352289616586, -43.737144715945966, 45.72394200561254, -179.98485296166783, -57.46792306470307, 64.08337533619611 
-168.53930046273976, -43.63842389165385, 45.72453928151849, -179.25398793802137, -57.26694629432245, 64.08557200838864 
-167.57654971086828, -43.54029802922709, 45.725132897858614, -178.52525158118928, -57.06794198007441, 64.08775432841783 
-166.6152487751343, -43.44279387676829, 45.72572268708491, -177.79857168658208, -56.870936438082516, 64.08992169325575 
-165.65537573175888, -43.345937895184164, 45.72630848371154, -177.0738784027766, -56.67595558331218, 64.09207350845465 
-164.69690861025745, -43.24975625484729, 45.72689012434698, -176.35110414813266, -56.483024936615045, 64.0942091882436 
-163.7398254046252, -43.15427483236648, 45.727467447724315, -175.63018353083078, -56.29216963127322, 64.09632815561743 
-162.78410408406003, -43.059519207461236, 45.72804029473009, -174.9110532721714, -56.10341441906894, 64.09842984241877 
-161.82972260322722, -42.965514659935906, 45.72860850843124, -174.1936521329811, -55.916783675903886, 64.10051368941248 
-160.87665891207502, -42.87228616674952, 45.72917193410054, -173.47792084298072, -55.73230140699118, 64.10257914635332 
-159.92489096520575, -42.77985839917678, 45.72973041924028, -172.76380203297444, -55.54999125164212, 64.10462567204645 
-158.97439673081178, -42.688255720056816, 45.73028381360438, -172.05124016972738, -55.36987648766811, 64.10665273440108 
-158.02515419918214, -42.597502181125584, 45.73083196921904, -171.3401814934043, -55.19198003541799, 64.1086598104773 
-157.07714139078814, -42.507621520428486, 45.731374740401534, -170.6305739574479, -55.01632446146914, 64.11064638652644 
-156.13033636395542, -42.41863715980974, 45.73191198377777, -169.92236717078168, -54.84293198199059, 64.1126119580247 
-155.18471722212985, -42.33057220247521, 45.73244355829804, -169.21551234222622, -54.67182446579495, 64.11455602970054 
-154.24026212074608, -42.243449430625425, 45.73296932525159, -168.5099622270246, -54.50302343709572, 64.11647811555599 
-153.29694927370517, -42.157291303156114, 45.73348914827947, -167.8056710753758, -54.33655007798507, 64.1183777388815 
-152.3547569594706, -42.07211995342305, 45.7340028933861, -167.10259458288124, -54.172425230647306, 64.12025443226534 
-151.41366352678992, -41.98795718706873, 45.73451042894947, -166.40068984281268, -54.01066939932185, 64.12210773759685 
-150.47364740005014, -41.90482447990828, 45.73501162572982, -165.69991530011487, -53.851302752029525, 64.12393720606443 
-149.53468708427488, -41.82274297587213, 45.73550635687723, -165.00023070706018, -53.694345122074786, 64.12574239814784 
-148.5967611697715, -41.741733485003266, 45.73599449793775, -164.30159708047557, -53.5398160093365, 64.1275228836056 
-147.65984833643574, -41.6618164815067, 45.736475926858404, -163.60397666046723, -53.38773458135897, 64.12927824145696 
-146.72392735772215, -41.58301210184935, 45.73695052399085, -162.90733287057063, -53.23811967425474, 64.1310080599593 
-145.78897710428802, -41.50534014290849, 45.73741817209401, -162.21163027925778, -53.09098979342989, 64.13271193658075 
-144.85497654731893, -41.4288200601665, 45.737878756335554, -161.51683456273594, -52.94636311414241, 64.13438947796826 
-143.9219047615434, -41.35347096595103, 45.738332164292224, -160.8229124689756, -52.8042574819036, 64.13604029991154 
-142.98974092794447, -41.27931162771821, 45.73877828594922, -160.1298317829087, -52.664690412732234, 64.13766402730288 
-142.05846433617592, -41.20636046637822, 45.73921701369847, -159.43756129273976, -52.52767909327076, 64.1392602940928 
-141.12805438669088, -41.13463555466128, 45.73964824233608, -158.7460707573165, -52.39324038077238, 64.14082874324266 
-140.19849059259025, -41.06415461552326, 45.740071869058774, -158.05533087450763, -52.261390802967775, 64.14236902667308 
