# utc [-], et [s], MEX2TGO [km], spoint_x [km], spoint_y [km], spoint_z [km], spoint_lon [deg], spoint_lat_sph [deg], spoint_lat [deg], emission_MEX [deg], emission_TGO [deg], spoint2MEX [km], spoint2TGO [km], lon_midpoint [deg], lat_midpoint [deg] 
2025 SEP 22 23:01:37, 811854166.6782072, 1635.9913737046481, 3309.2242355583844, -242.95055930093005, -719.6976805046205, -4.198903395991607, -12.112613663705943, -12.238055288720007, 64.98455965342329, 64.99442370164806, 1033.8857186910989, 767.374025305334, -5.221885329930857, -13.78823795297764
2025 SEP 22 23:01:38, 811854167.6798766, 1630.6561447015902, 3309.310570949992, -242.52030027310335, -719.4487271262651, -4.191384813985916, -12.10859243977597, -12.233786591053475, 64.8562795222897, 64.86586100765048, 1032.2285030349142, 764.9477260695592, -5.220287970929853, -13.783662755994275
2025 SEP 22 23:01:39, 811854168.6815461, 1625.3341767304692, 3309.3952234843723, -242.08213569112326, -719.2097054680306, -4.183732458766904, -12.104461968816556, -12.229649227979507, 64.7277030663738, 64.73707385398147, 1030.578257536665, 762.5322259441351, -5.218694062969416, -13.77909020373204
2025 SEP 22 23:01:41, 811854169.6832155, 1620.0256188585586, 3309.4789141934825, -241.643256436036, -718.9749433593788, -4.176069247641198, -12.100406184201661, -12.225585653180925, 64.59887612576328, 64.60801492364855, 1028.935982162635, 760.1266482350181, -5.2171035721476775, -13.774520302247879
2025 SEP 22 23:01:42, 811854170.684885, 1614.730619538066, 3309.5615854720627, -241.2038017716656, -718.7446599636165, -4.168397644903766, -12.096428805665294, -12.22159965018115, 64.46979176306554, 64.47869970260453, 1027.301516356641, 757.7312690304001, -5.215516497006579, -13.769953034917178
2025 SEP 22 23:01:43, 811854171.6865544, 1609.4493305673752, 3309.643229471301, -240.76378965962564, -718.518888672231, -4.160717963013642, -12.092530370519492, -12.217691792855057, 64.34045215262833, 64.34913291547454, 1025.6749081033254, 755.3461610086763, -5.213932818531326, -13.76538839487146
2025 SEP 22 23:01:44, 811854172.6882238, 1604.181904096726, 3309.720482117178, -240.33162609866554, -718.3101723128111, -4.153179157750342, -12.08892550136077, -12.214078765126073, 64.21022199023773, 64.22009256915233, 1024.042313033209, 752.9852843948839, -5.212352547240087, -13.760826371123834
2025 SEP 22 23:01:45, 811854173.6898934, 1598.9284931458953, 3309.8007087355813, -239.8977977835068, -718.0881331064397, -4.145608180480315, -12.085362499040965, -12.210276622861446, 64.0804013163046, 64.09001255717656, 1022.4320803335285, 750.6204089219739, -5.21077567279909, -13.75626694835639
2025 SEP 22 23:01:46, 811854174.6915628, 1593.6892545890773, 3309.879318939609, -239.45581327080123, -717.8758113001813, -4.137898986054414, -12.081691267773635, -12.206600793017293, 63.95032825269496, 63.95970195991891, 1020.8297537952245, 748.2661134449552, -5.2092021584802515, -13.751710132433656
2025 SEP 22 23:01:47, 811854175.6932322, 1588.4643451794798, 3309.956900671034, -239.0132731839631, -717.668019778792, -4.130181719453477, -12.07809931312019, -12.203003415593685, 63.82001630966193, 63.829152688977736, 1019.235604679181, 745.9222435525623, -5.207632021581997, -13.747155906458104
