# MEX_intpoint_lon [deg], MEX_intpoint_lat [deg], MEX_intpoint_angle [deg], TGO_intpoint_lon [deg], TGO_intpoint_lat [deg], TGO_intpoint_angle [deg] 
-137.09140506589674, 19.029154990295677, 20.392294734149736, -22.276391120817063, 55.94434594225145, 62.599814957790024 
-138.02463849259513, 18.70550164122067, 20.392734984192085, -22.921456876500073, 56.238701617841194, 62.596736165922124 
-138.95635390147072, 18.382584680266767, 20.393167852820568, -23.568257860841495, 56.53527102656373, 62.59364794423521 
-139.8866230460963, 18.06048799489164, 20.393593217026183, -24.21688339274627, 56.834022670109924, 62.59055125053662 
-140.815516916453, 17.739294912566255, 20.394010962735084, -24.86742672961118, 57.134924747375756, 62.58744705471632 
-141.74310570043914, 17.419088206957415, 20.394420984824393, -25.519985268036894, 57.43794514467673, 62.584336338427704 
-142.66945874688034, 17.099950103819516, 20.39482318712714, -26.174660757736397, 57.74305142499217, 62.58122009475346 
-143.59464452996033, 16.781962286555665, 20.395217482426457, -26.83155952963925, 58.050210816170434, 62.57809932785612 
-144.5187306149991, 16.465205901410176, 20.395603792439104, -27.49079273927684, 58.35939019802103, 62.57497505261418 
-145.4417836255063, 16.14976156225665, 20.39598204778815, -28.152476626625855, 58.670556088212045, 62.57184829424355 
-146.36386921144424, 15.835709354947383, 20.396352187965277, -28.816732793689805, 58.9836746268846, 62.568720087904246 
-147.28505201863706, 15.5231288411921, 20.396714161282294, -29.483688501208956, 59.29871155988779, 62.56559147829343 
-148.2053956592675, 15.21209906193564, 20.39706792481242, -30.153476986012087, 59.61563222052841, 62.56246351922366 
-149.124962683408, 14.902698540205806, 20.39741344432114, -30.826237800657243, 59.9344015097207, 62.559337273188234 
-150.04381455153433, 14.595005283404866, 20.397750694186865, -31.50211717715579, 60.25498387440913, 62.556213810912254 
-150.9620116079775, 14.289096785019124, 20.39807965731151, -32.18126841673658, 60.577343284127004, 62.55309421089086 
-151.87961305527094, 13.985050025723517, 20.398400325021115, -32.863852307783894, 60.901443205538456, 62.549979558914366 
-152.796676929356, 13.682941473859028, 20.39871269695673, -33.55003757427997, 61.227246574798315, 62.546870947580764 
-153.71326007561183, 13.382847085262945, 20.399016780955602, -34.240001357296634, 61.55471576754659, 62.543769475795976 
-154.62941812568076, 13.08484230243322, 20.399312592923035, -34.93392973231966, 61.88381256633734, 62.54067624826181 
-155.54520547506309, 12.789002053010092, 20.39960015669487, -35.63201826544896, 62.21449812528034, 62.53759237495274 
-156.4606752614606, 12.495400747559273, 20.399879503891, -36.33447261180783, 62.54673293165256, 62.5345189705809 
-157.37587934385073, 12.204112276643244, 20.400150673760017, -37.04150915981031, 62.88047676421065, 62.5314571540507 
-158.29086828227815, 11.91521000716801, 20.40041371301524, -37.753355725288436, 63.21568864790836, 62.52840804790248 
-159.20569131835362, 11.628766777994969, 20.40066867566236, -38.470252299866495, 63.552326804691255, 62.52537277774648 
-160.120396356454, 11.344854894808607, 20.400915622818953, -39.192451858397945, 63.89034860000669, 62.52235247168686 
-161.03502994562143, 11.063546124232593, 20.40115462252605, -39.92022123075262, 64.22971048462848, 62.519348259736816 
