# lat_index, lat_min [rad], lat_max [rad], S_latcirc [km^2]
0,0.0,0.001090830782496456,43.11700197569784
1,0.001090830782496456,0.002181661564992912,129.35095281510013
2,0.002181661564992912,0.003272492347489368,215.58474431860466
3,0.003272492347489368,0.004363323129985824,301.81827026255417
4,0.004363323129985824,0.00545415391248228,388.05142442370385
5,0.00545415391248228,0.006544984694978736,474.28410057938584
6,0.006544984694978736,0.007635815477475192,560.5161925076728
7,0.007635815477475192,0.008726646259971648,646.747593987546
8,0.008726646259971648,0.009817477042468103,732.9781987990568
9,0.009817477042468103,0.01090830782496456,819.2079007234931
10,0.01090830782496456,0.011999138607461015,905.4365935435441
11,0.011999138607461015,0.013089969389957472,991.664171043466
12,0.013089969389957472,0.014180800172453928,1077.8905270092398
13,0.014180800172453928,0.015271630954950384,1164.1155552287514
14,0.015271630954950384,0.016362461737446838,1250.339149491938
15,0.016362461737446838,0.017453292519943295,1336.561203590975
16,0.017453292519943295,0.018544123302439753,1422.7816113204083
17,0.018544123302439753,0.019634954084936207,1509.0002664773476
18,0.019634954084936207,0.020725784867432664,1595.217062861638
19,0.020725784867432664,0.02181661564992912,1681.431894275974
20,0.02181661564992912,0.022907446432425576,1767.64465452614
21,0.022907446432425576,0.02399827721492203,1853.8552374210908
22,0.02399827721492203,0.025089107997418487,1940.0635367732048
23,0.025089107997418487,0.026179938779914945,2026.2694463983626
24,0.026179938779914945,0.0272707695624114,2112.472860116169
25,0.0272707695624114,0.028361600344907856,2198.673671750124
26,0.028361600344907856,0.02945243112740431,2284.871775127714
27,0.02945243112740431,0.030543261909900768,2371.0670640806857
28,0.030543261909900768,0.031634092692397225,2457.2594324451006
29,0.031634092692397225,0.032724923474893676,2543.4487740615646
30,0.032724923474893676,0.03381575425739013,2629.634982775436
31,0.03381575425739013,0.03490658503988659,2715.8179524368375
32,0.03490658503988659,0.03599741582238305,2801.9975769009798
33,0.03599741582238305,0.037088246604879506,2888.1737500282475
34,0.037088246604879506,0.038179077387375956,2974.346365684359
35,0.038179077387375956,0.039269908169872414,3060.515317740629
36,0.039269908169872414,0.04036073895236887,3146.6805000739396
37,0.04036073895236887,0.04145156973486533,3232.8418065670962
38,0.04145156973486533,0.04254240051736178,3318.999131108876
39,0.04254240051736178,0.04363323129985824,3405.152367594317
40,0.04363323129985824,0.044724062082354694,3491.3014099246716
41,0.044724062082354694,0.04581489286485115,3577.4461520077807
42,0.04581489286485115,0.04690572364734761,3663.586487758134
43,0.04690572364734761,0.04799655442984406,3749.72231109703
44,0.04799655442984406,0.04908738521234052,3835.853515952862
45,0.04908738521234052,0.050178215994836975,3921.979996261042
46,0.050178215994836975,0.05126904677733343,4008.1016459644034
47,0.05126904677733343,0.05235987755982989,4094.2183590132468
48,0.05235987755982989,0.05345070834232634,4180.330029365501
49,0.05345070834232634,0.0545415391248228,4266.43655098702
50,0.0545415391248228,0.055632369907319255,4352.537817851485
51,0.055632369907319255,0.05672320068981571,4438.633723940824
52,0.05672320068981571,0.05781403147231216,4524.724163245226
53,0.05781403147231216,0.05890486225480862,4610.809029763472
54,0.05890486225480862,0.05999569303730508,4696.888217502805
55,0.05999569303730508,0.061086523819801536,4782.96162047939
56,0.061086523819801536,0.06217735460229799,4869.02913271833
57,0.06217735460229799,0.06326818538479445,4955.09064825386
58,0.06326818538479445,0.06435901616729091,5041.146061129511
59,0.06435901616729091,0.06544984694978735,5127.195265398203
60,0.06544984694978735,0.06654067773228381,5213.238155122747
61,0.06654067773228381,0.06763150851478027,5299.274624375346
62,0.06763150851478027,0.06872233929727672,5385.304567238414
63,0.06872233929727672,0.06981317007977318,5471.327877804416
64,0.06981317007977318,0.07090400086226964,5557.344450176093
65,0.07090400086226964,0.0719948316447661,5643.354178466629
66,0.0719948316447661,0.07308566242726255,5729.356956799812
67,0.07308566242726255,0.07417649320975901,5815.352679310201
68,0.07417649320975901,0.07526732399225546,5901.341240143211
69,0.07526732399225546,0.07635815477475191,5987.322533455652
70,0.07635815477475191,0.07744898555724837,6073.296453415146
71,0.07744898555724837,0.07853981633974483,6159.262894201036
72,0.07853981633974483,0.07963064712224129,6245.221750004175
73,0.07963064712224129,0.08072147790473774,6331.172915027168
74,0.08072147790473774,0.0818123086872342,6417.116283484531
75,0.0818123086872342,0.08290313946973066,6503.051749602857
76,0.08290313946973066,0.08399397025222712,6588.979207620977
77,0.08399397025222712,0.08508480103472356,6674.898551790041
78,0.08508480103472356,0.08617563181722002,6760.809676374101
79,0.08617563181722002,0.08726646259971647,6846.712475649435
80,0.08726646259971647,0.08835729338221293,6932.606843905543
81,0.08835729338221293,0.08944812416470939,7018.4926754449025
82,0.08944812416470939,0.09053895494720585,7104.369864583203
83,0.09053895494720585,0.0916297857297023,7190.238305649516
84,0.0916297857297023,0.09272061651219876,7276.09789298646
85,0.09272061651219876,0.09381144729469522,7361.948520950352
86,0.09381144729469522,0.09490227807719166,7447.790083911288
87,0.09490227807719166,0.09599310885968812,7533.622476253774
88,0.09599310885968812,0.09708393964218458,7619.4455923759415
89,0.09708393964218458,0.09817477042468103,7705.259326690656
90,0.09817477042468103,0.09926560120717749,7791.063573625208
91,0.09926560120717749,0.10035643198967395,7876.85822762157
92,0.10035643198967395,0.10144726277217041,7962.643183136559
93,0.10144726277217041,0.10253809355466686,8048.418334641996
94,0.10253809355466686,0.10362892433716332,8134.183576624873
95,0.10362892433716332,0.10471975511965978,8219.93880358751
96,0.10471975511965978,0.10581058590215622,8305.68391004762
97,0.10581058590215622,0.10690141668465268,8391.41879053899
