# lon_gridpoint [deg], lat_gridpoint [deg], P_R_modelGRS [W], P_R_modelFREND [W] 
126.375, 47.125, 1.952395776465051e-24, 1.9409452412104276e-24 
126.625, 47.125, 2.5188160276628827e-24, 2.5038623724575496e-24 
126.875, 47.125, 4.848310716544092e-24, 4.819263516666809e-24 
127.125, 47.125, 4.659444188360981e-24, 4.6313775039764926e-24 
127.375, 47.125, 2.514270198534829e-24, 2.4990243501071618e-24 
127.625, 47.125, 4.16674810428492e-24, 4.141135340571396e-24 
127.875, 47.125, 3.6085424419310615e-24, 3.5860694841269645e-24 
128.125, 47.125, 4.1906465604445505e-24, 4.1642233185399896e-24 
128.375, 47.125, 5.589835094357601e-24, 5.554151364261943e-24 
128.625, 47.125, 5.0118337788147924e-24, 4.9794226769655106e-24 
128.875, 47.125, 8.040743506956138e-24, 7.988230189289198e-24 
129.125, 47.125, 7.195142393356017e-24, 7.147877663303217e-24 
129.375, 47.125, 2.6264308489910433e-24, 2.609101569612561e-24 
129.625, 47.125, 3.794798006907942e-24, 3.7696648882829374e-24 
129.875, 47.125, 4.078646758115074e-24, 4.051608654983436e-24 
130.125, 47.125, 3.313113182278256e-24, 3.2912167259616233e-24 
130.375, 47.125, 7.411367053447295e-24, 7.362534523952661e-24 
130.625, 47.125, 1.150094013397558e-23, 1.1425393790017407e-23 
130.875, 47.125, 1.3876371447626157e-23, 1.3785501331150747e-23 
131.125, 47.125, 1.19428844167273e-23, 1.1864916616798615e-23 
131.375, 47.125, 6.343814660719651e-24, 6.3025276712923844e-24 
131.625, 47.125, 8.71239418828046e-24, 8.655867610060558e-24 
131.875, 47.125, 7.40497318946059e-24, 7.356944367740675e-24 
132.125, 47.125, 6.744784577997127e-24, 6.700869038836438e-24 
132.375, 47.125, 1.0996818709030631e-23, 1.0924942927771124e-23 
132.625, 47.125, 1.2908578954454653e-23, 1.2823884874112443e-23 
132.875, 47.125, 6.627590614673759e-24, 6.5837678964947405e-24 
133.125, 47.125, 5.374835330072805e-24, 5.338836544270406e-24 
133.375, 47.125, 4.5184500390265795e-24, 4.487817967047777e-24 
133.625, 47.125, 4.528780420216098e-24, 4.497716687271535e-24 
133.875, 47.125, 5.66309699519425e-24, 5.623554609312092e-24 
134.125, 47.125, 6.541967761722834e-24, 6.495027107327056e-24 
134.375, 47.125, 9.193955306765664e-24, 9.126362797762645e-24 
122.875, 47.375, 2.2778693620442e-24, 2.2662706162861253e-24 
123.125, 47.375, 2.0339982537166557e-24, 2.023390442873579e-24 
123.375, 47.375, 2.0408230946952685e-24, 2.029927998441084e-24 
123.625, 47.375, 3.183616888726439e-24, 3.1663513236162237e-24 
123.875, 47.375, 6.353797904736205e-24, 6.318861835337045e-24 
124.125, 47.375, 6.151071595795973e-24, 6.116763108061955e-24 
124.375, 47.375, 4.6222971852659755e-24, 4.596216049345878e-24 
124.625, 47.375, 7.865181935476903e-24, 7.820302037425952e-24 
124.875, 47.375, 7.9281704215531e-24, 7.882590639789513e-24 
125.125, 47.375, 1.1149518326014222e-23, 1.1085211891706848e-23 
125.375, 47.375, 7.565809013200102e-24, 7.522031774700973e-24 
125.625, 47.375, 4.4737772501588914e-24, 4.447654048243183e-24 
125.875, 47.375, 4.49073260657775e-24, 4.464176019380328e-24 
126.125, 47.375, 4.289224175646282e-24, 4.263526561644319e-24 
126.375, 47.375, 2.674953632641854e-24, 2.658719959710012e-24 
126.625, 47.375, 2.305962779459431e-24, 2.291799139366383e-24 
126.875, 47.375, 6.720109539314062e-24, 6.678467650274826e-24 
127.125, 47.375, 5.898988303168792e-24, 5.862198541913533e-24 
127.375, 47.375, 5.031461757802454e-24, 4.999663698932582e-24 
127.625, 47.375, 6.052567111660736e-24, 6.013812086945384e-24 
127.875, 47.375, 5.398499967504727e-24, 5.36349689998752e-24 
128.125, 47.375, 4.0503188124132845e-24, 4.0237396573848294e-24 
128.375, 47.375, 6.3600417858739715e-24, 6.317776271010488e-24 
128.625, 47.375, 4.9472416679824216e-24, 4.913953056024126e-24 
128.875, 47.375, 7.174763566118647e-24, 7.126027407651843e-24 
129.125, 47.375, 6.38470341319535e-24, 6.341090769964031e-24 
129.375, 47.375, 4.2619456012120155e-24, 4.232692160588816e-24 
129.625, 47.375, 3.2423376734238842e-24, 3.2199962775712916e-24 
129.875, 47.375, 2.4834064268362605e-24, 2.4662791974635688e-24 
130.125, 47.375, 5.388318452111491e-24, 5.351265596382364e-24 
130.375, 47.375, 6.502313354164779e-24, 6.457731137826443e-24 
130.625, 47.375, 8.194325473314447e-24, 8.138307358521099e-24 
130.875, 47.375, 1.2103811759172831e-23, 1.2021311535433073e-23 
131.125, 47.375, 1.3046112046438143e-23, 1.295745201112409e-23 
131.375, 47.375, 1.3964100515384352e-23, 1.3869483397838736e-23 
131.625, 47.375, 1.4740511672266393e-23, 1.4640930930906753e-23 
131.875, 47.375, 6.824288473972723e-24, 6.778200324525233e-24 
132.125, 47.375, 6.333264563931464e-24, 6.290334089099674e-24 
132.375, 47.375, 7.377829326735476e-24, 7.327633570085784e-24 
132.625, 47.375, 6.69407897767587e-24, 6.648367655222456e-24 
132.875, 47.375, 6.932657722884197e-24, 6.884989933725962e-24 
133.125, 47.375, 4.469323428076854e-24, 4.438211154597452e-24 
133.375, 47.375, 4.2550938368478494e-24, 4.225109034904523e-24 
133.625, 47.375, 2.9142096303958435e-24, 2.8934357287131145e-24 
133.875, 47.375, 3.894833887857816e-24, 3.8665893841422e-24 
134.125, 47.375, 7.775757627777136e-24, 7.717869798814518e-24 
134.375, 47.375, 9.605266460008034e-24, 9.531954065062322e-24 
134.625, 47.375, 8.036539810373547e-24, 7.973840411567377e-24 
134.875, 47.375, 5.056259882679886e-24, 5.0158554370582784e-24 
135.125, 47.375, 5.182039204270631e-24, 5.139422641496851e-24 
135.375, 47.375, 2.6667881484974352e-24, 2.644194038383532e-24 
135.625, 47.375, 3.797500704193324e-24, 3.7643829102551805e-24 
120.125, 47.625, 7.16152823856939e-24, 7.133432374727259e-24 
120.375, 47.625, 6.225624326677298e-24, 6.2003069760975744e-24 
120.625, 47.625, 2.044573704188747e-24, 2.0359494540302904e-24 
120.875, 47.625, 3.502969433987927e-24, 3.487662842867391e-24 
121.125, 47.625, 4.942985472972242e-24, 4.920637739392389e-24 
121.375, 47.625, 4.773997148096599e-24, 4.751690149315735e-24 
121.625, 47.625, 2.327657821147834e-24, 2.3164289304378305e-24 
121.875, 47.625, 1.957896161744002e-24, 1.9482500841384117e-24 
122.125, 47.625, 1.427727003936132e-24, 1.4205813103663214e-24 
122.375, 47.625, 2.6232482144422724e-24, 2.609913892163325e-24 
122.625, 47.625, 5.902628284919347e-24, 5.87216289099409e-24 
122.875, 47.625, 4.4613736164260564e-24, 4.437902236670837e-24 
123.125, 47.625, 2.5310605466113986e-24, 2.5174324168489046e-24 
123.375, 47.625, 5.023029285157415e-24, 4.995363968398514e-24 
123.625, 47.625, 5.810728262560508e-24, 5.778007810712289e-24 
123.875, 47.625, 8.681488246669396e-24, 8.63183676022438e-24 
124.125, 47.625, 9.465340909946626e-24, 9.410412656850444e-24 
124.375, 47.625, 9.102051174986108e-24, 9.048641028886087e-24 
124.625, 47.625, 1.692514553670473e-23, 1.6824751928633933e-23 
124.875, 47.625, 1.686856346104848e-23, 1.6767780889509842e-23 
125.125, 47.625, 9.007012882098133e-24, 8.953032602791734e-24 
125.375, 47.625, 9.557631126990535e-24, 9.500127334402291e-24 
125.625, 47.625, 8.22014932193059e-24, 8.17042610745293e-24 
125.875, 47.625, 5.138696672314653e-24, 5.107281738628926e-24 
126.125, 47.625, 5.978647916474427e-24, 5.9416342596153e-24 
126.375, 47.625, 5.927100577178713e-24, 5.889946262965205e-24 
126.625, 47.625, 8.260569059653099e-24, 8.20814645342088e-24 
126.875, 47.625, 1.1429113450327612e-23, 1.1355858234596397e-23 
127.125, 47.625, 9.051388236346925e-24, 8.992619770156685e-24 
127.375, 47.625, 5.342986234007948e-24, 5.307850803004201e-24 
127.625, 47.625, 4.629204794060661e-24, 4.59837785608299e-24 
127.875, 47.625, 9.015206953217296e-24, 8.954437208428758e-24 
128.125, 47.625, 7.807423679923692e-24, 7.754145421924018e-24 
128.375, 47.625, 6.678724314058263e-24, 6.632592346519053e-24 
128.625, 47.625, 8.900093848157719e-24, 8.837877228374125e-24 
128.875, 47.625, 9.496945022498686e-24, 9.429948200721643e-24 
129.125, 47.625, 5.224766505137649e-24, 5.187709038695259e-24 
129.375, 47.625, 3.349875053488315e-24, 3.326004741751479e-24 
129.625, 47.625, 2.7900452854917785e-24, 2.7700785829269525e-24 
129.875, 47.625, 8.059872140192724e-24, 8.002129755515532e-24 
130.125, 47.625, 8.933146303658267e-24, 8.869327604243179e-24 
130.375, 47.625, 7.186558452326834e-24, 7.135362232617235e-24 
130.625, 47.625, 8.177832185224132e-24, 8.119739021895706e-24 
130.875, 47.625, 3.962717501732577e-24, 3.934647250887178e-24 
131.125, 47.625, 1.1551704862122528e-23, 1.1470110144477348e-23 
131.375, 47.625, 1.2100941988893048e-23, 1.2015711628244965e-23 
131.625, 47.625, 1.4964263095315085e-23, 1.485916712644788e-23 
131.875, 47.625, 1.3089839219937164e-23, 1.29979341384942e-23 
132.125, 47.625, 7.709267368557458e-24, 7.65494684589023e-24 
132.375, 47.625, 7.887306924007564e-24, 7.831534464295303e-24 
132.625, 47.625, 5.0789630819934364e-24, 5.04292173768703e-24 
132.875, 47.625, 6.63692760385827e-24, 6.589517216340392e-24 
133.125, 47.625, 6.978646549747222e-24, 6.928226065360516e-24 
133.375, 47.625, 4.29374911695177e-24, 4.262359719757281e-24 
133.625, 47.625, 3.250309488097486e-24, 3.2262701562958198e-24 
133.875, 47.625, 5.1259171132002584e-24, 5.087364375406749e-24 
134.125, 47.625, 5.669069974744117e-24, 5.625338593028135e-24 
134.375, 47.625, 4.185149273375517e-24, 4.1520785505232055e-24 
134.625, 47.625, 5.962050116517482e-24, 5.913861453464279e-24 
134.875, 47.625, 4.674667404924209e-24, 4.635967170020873e-24 
135.125, 47.625, 8.214126512792477e-24, 8.144082807980411e-24 
135.375, 47.625, 7.793426309900613e-24, 7.725033007255235e-24 
135.625, 47.625, 3.256915856766809e-24, 3.2290366940582543e-24 
135.875, 47.625, 3.535092755852951e-24, 3.5059504047594136e-24 
136.125, 47.625, 4.88557567148815e-24, 4.8467951183680554e-24 
136.375, 47.625, 6.3543437818749875e-24, 6.305851470167879e-24 
136.625, 47.625, 4.4939548561247826e-24, 4.46103876693136e-24 
117.875, 47.875, 8.557434847906725e-24, 8.534360593413464e-24 
118.125, 47.875, 6.964250117916139e-24, 6.944459856142104e-24 
118.375, 47.875, 7.653393407757248e-24, 7.630532695697436e-24 
118.625, 47.875, 7.482805874464374e-24, 7.459295653484769e-24 
118.875, 47.875, 5.130525595655787e-24, 5.11348789170245e-24 
119.125, 47.875, 5.748568519066107e-24, 5.728589062401e-24 
119.375, 47.875, 6.5845184902757866e-24, 6.560625392737506e-24 
119.625, 47.875, 8.235598128056378e-24, 8.204452589684731e-24 
119.875, 47.875, 7.853457907740047e-24, 7.822621367095292e-24 
120.125, 47.875, 5.2404466996109565e-24, 5.219113774620057e-24 
120.375, 47.875, 3.80135098077207e-24, 3.785300508838876e-24 
120.625, 47.875, 4.0735143052466066e-24, 4.055697566045545e-24 
120.875, 47.875, 1.036418972702646e-23, 1.0317230994365627e-23 
121.125, 47.875, 1.0170474968426461e-23, 1.0122828982493079e-23 
121.375, 47.875, 1.8369316642947338e-24, 1.8280477983422577e-24 
121.625, 47.875, 1.012654673468289e-24, 1.0076037768211169e-24 
121.875, 47.875, 1.7334705350619133e-24, 1.724618571019591e-24 
122.125, 47.875, 1.4706796265772725e-24, 1.4630527965441055e-24 
122.375, 47.875, 1.281801622034031e-24, 1.2750540640511276e-24 
122.625, 47.875, 3.2681459548437846e-24, 3.250686469318529e-24 
122.875, 47.875, 4.815014733530072e-24, 4.788811302283912e-24 
123.125, 47.875, 4.50830599316581e-24, 4.4832155947887594e-24 
123.375, 47.875, 2.930008540098343e-24, 2.9133405309354736e-24 
123.625, 47.875, 5.1307934591104405e-24, 5.1010074052748985e-24 
123.875, 47.875, 7.120766452851729e-24, 7.078830750691122e-24 
124.125, 47.875, 7.001342725001977e-24, 6.959523170620513e-24 
124.375, 47.875, 8.39381743722123e-24, 8.343136253828758e-24 
124.625, 47.875, 6.664167565481136e-24, 6.623505284556475e-24 
124.875, 47.875, 2.2220817087465828e-23, 2.2084279200230073e-23 
125.125, 47.875, 2.2596379351100463e-23, 2.245700926552091e-23 
125.375, 47.875, 6.382574870532525e-24, 6.343001495885319e-24 
125.625, 47.875, 6.836850641964172e-24, 6.79423310145532e-24 
125.875, 47.875, 5.020636484039219e-24, 4.989059709133112e-24 
126.125, 47.875, 4.9767682023959904e-24, 4.9450812472327246e-24 
126.375, 47.875, 7.057271853334264e-24, 7.011790871903624e-24 
126.625, 47.875, 7.779328662592406e-24, 7.728584401892607e-24 
126.875, 47.875, 5.260691533710057e-24, 5.2259383742924026e-24 
127.125, 47.875, 5.250701572748937e-24, 5.215577346457337e-24 
127.375, 47.875, 9.081080887631532e-24, 9.019577650406022e-24 
127.625, 47.875, 7.89099705710497e-24, 7.836896969140235e-24 
127.875, 47.875, 6.977696951414282e-24, 6.92941443351953e-24 
128.125, 47.875, 6.488805296876738e-24, 6.443443983503397e-24 
128.375, 47.875, 3.57806233333498e-24, 3.55275125422251e-24 
128.625, 47.875, 8.198157846878469e-24, 8.139481777891449e-24 
128.875, 47.875, 8.23640666215031e-24, 8.176929587048826e-24 
129.125, 47.875, 3.424816753652707e-24, 3.3999548607577355e-24 
129.375, 47.875, 2.8244483953738826e-24, 2.803851337153804e-24 
129.625, 47.875, 7.687379999255125e-24, 7.631084545111546e-24 
129.875, 47.875, 9.873205524884164e-24, 9.800809783730373e-24 
130.125, 47.875, 5.463461337959711e-24, 5.423510310817171e-24 
130.375, 47.875, 3.7738206227465705e-24, 3.746300953316834e-24 
130.625, 47.875, 3.4745665687432875e-24, 3.449279371450488e-24 
130.875, 47.875, 7.10587180013856e-24, 7.054086550753119e-24 
131.125, 47.875, 1.2020920475953112e-23, 1.1933558163759716e-23 
131.375, 47.875, 8.783527260781555e-24, 8.719869750566945e-24 
131.625, 47.875, 8.013292026458192e-24, 7.955378161070826e-24 
131.875, 47.875, 7.734525982759242e-24, 7.678642480247257e-24 
132.125, 47.875, 8.616062708548566e-24, 8.553594188497053e-24 
132.375, 47.875, 1.2372207168663787e-23, 1.2282195895525514e-23 
132.625, 47.875, 1.1188502408175708e-23, 1.1106756552952232e-23 
132.875, 47.875, 5.663064400326164e-24, 5.6210818787855106e-24 
133.125, 47.875, 7.704502226483702e-24, 7.64662267591616e-24 
133.375, 47.875, 4.9831123961094046e-24, 4.945270400537014e-24 
133.625, 47.875, 8.906695262088441e-24, 8.83829550905314e-24 
133.875, 47.875, 1.633743288349125e-23, 1.6209896313631885e-23 
134.125, 47.875, 1.1042701912284259e-23, 1.095436782671311e-23 
134.375, 47.875, 2.3338145458671782e-24, 2.3147070580226687e-24 
134.625, 47.875, 4.928839938897296e-24, 4.8875893080941344e-24 
134.875, 47.875, 5.523512556496552e-24, 5.47605237487218e-24 
135.125, 47.875, 3.477436278989985e-24, 3.446673228331841e-24 
135.375, 47.875, 4.837715245809849e-24, 4.795925196824227e-24 
135.625, 47.875, 6.023883086716104e-24, 5.973788826124803e-24 
135.875, 47.875, 6.000521452978983e-24, 5.952621521920438e-24 
136.125, 47.875, 7.528283187419076e-24, 7.470608368746207e-24 
136.375, 47.875, 7.445577364300491e-24, 7.390820564775855e-24 
136.625, 47.875, 3.0292595139695305e-24, 3.007912260334813e-24 
136.875, 47.875, 5.412906919521232e-24, 5.3762729181476634e-24 
137.125, 47.875, 6.4384156198294916e-24, 6.396312601438658e-24 
137.375, 47.875, 1.6807689246991363e-23, 1.6701624996827368e-23 
137.625, 47.875, 2.490127573896687e-23, 2.474999639961865e-23 
137.875, 47.875, 4.073839330256526e-23, 4.050391520616568e-23 
115.625, 48.125, 8.164691019396627e-24, 8.153737954494223e-24 
115.875, 48.125, 3.5546579758872195e-24, 3.5494092153824025e-24 
116.125, 48.125, 4.229010352511465e-24, 4.2221280778444845e-24 
116.375, 48.125, 4.18562851268015e-24, 4.178206932173971e-24 
116.625, 48.125, 1.5633868897083417e-23, 1.5604142452834015e-23 
116.875, 48.125, 1.8239456055580442e-23, 1.8201677349597203e-23 
117.125, 48.125, 2.2460824719947097e-23, 2.240964789248064e-23 
117.375, 48.125, 1.7590533199026967e-23, 1.754738087985657e-23 
117.625, 48.125, 6.989560059358356e-24, 6.971240574694448e-24 
117.875, 48.125, 8.024121163019988e-24, 8.001837075278619e-24 
118.125, 48.125, 8.757968919447567e-24, 8.732374213877891e-24 
118.375, 48.125, 1.0553201680790405e-23, 1.0520726851252502e-23 
