# utc [-], et [s], MEX2TGO [km], midpoint_x [km], midpoint_y [km],midpoint_z [km], midpoint_lon [deg], midpoint_lat [deg], midpoint2MEX[km], midpoint2TGO [km] 
2025 DEC 11 23:25:54, 818767623.1833574, 3758.903574694433, -328.29657006792877, -442.71375363236314, -3331.443807646745, -126.55896577565066, -80.60602447843928, 623.864359904354, 631.0750572274014, 
2025 DEC 11 23:25:55, 818767624.1850268, 3758.9046163981243, -324.994648237011, -443.5521609245534, -3331.653540036381, -126.23056787784361, -80.62810509354566, 623.6995925880268, 630.912680854842, 
2025 DEC 11 23:25:56, 818767625.1866963, 3758.905683254211, -321.6925744179144, -444.390568435135, -3331.8598313589187, -125.90063036895572, -80.64987389260715, 623.5359115419477, 630.7504542197245, 
2025 DEC 11 23:25:57, 818767626.1883657, 3758.906775402479, -318.3903542451574, -445.22897482123255, -3332.0626814520083, -125.56916492089648, -80.6713286958635, 623.3733185338237, 630.5883780806187, 
2025 DEC 11 23:25:58, 818767627.1900351, 3758.9078927500796, -315.0879922371233, -446.0673789433948, -3332.262090243454, -125.23618361970573, -80.69246734431546, 623.2118151175611, 630.426452935691, 
2025 DEC 11 23:25:59, 818767628.1917046, 3758.9090353269657, -311.78549284724807, -446.9057797272259, -3332.4580576666162, -124.90169906571435, -80.71328769169793, 623.0514029608225, 630.2646794136444, 
2025 DEC 11 23:26:00, 818767629.193374, 3758.910203150694, -308.4828614843167, -447.7441745118627, -3332.6505837859513, -124.56572456431871, -80.73378761874267, 622.8920851248918, 630.103058965855, 
2025 DEC 11 23:26:01, 818767630.1950434, 3758.9113962200145, -305.1801031443786, -448.58256472889127, -3332.839668172057, -124.22827367194414, -80.75396496745029, 622.73386050186, 629.9415905592128, 
2025 DEC 11 23:26:02, 818767631.196713, 3758.9126144760694, -301.87722205254556, -449.4209479978802, -3333.025310980075, -123.8893606406505, -80.77381765686546, 622.576732085989, 629.7802755460428, 
2025 DEC 11 23:26:03, 818767632.1983824, 3758.9138579592754, -298.5742236411261, -450.25932166609834, -3333.2075123028426, -123.54900037852032, -80.79334361525291, 622.4207029815219, 629.6191153678617, 
2025 DEC 11 23:26:04, 818767633.2000519, 3758.915126688712, -295.27111245004863, -451.0976872783369, -3333.386271763165, -123.20720800750254, -80.8125407371011, 622.2657720749161, 629.4581090240997, 
2025 DEC 11 23:26:05, 818767634.2017213, 3758.916420634768, -291.9678936960945, -451.93604088287634, -3333.5615896673453, -122.86399957190956, -80.83140700777886, 622.1119437938087, 629.2972586682648, 
2025 DEC 11 23:26:06, 818767635.2033907, 3758.9177398178717, -288.6645722983002, -452.77438394460006, -3333.733465633763, -122.51939131640646, -80.8499403571812, 621.9592170699492, 629.1365633066675, 
2025 DEC 11 23:26:07, 818767636.2050602, 3758.919084185816, -285.36115228595594, -453.61271279081257, -3333.901900054099, -122.17340024487758, -80.86813881794787, 621.8075963039045, 628.9760250735817, 
2025 DEC 11 23:26:08, 818767637.2067297, 3758.9204537825603, -282.0576395239872, -454.45102733639493, -3334.0668926919857, -121.82604386266841, -80.88600037536932, 621.6570818325774, 628.8156437720088, 
2025 DEC 11 23:26:09, 818767638.208399, 3758.9218486244968, -278.7540387818069, -455.28932771232087, -3334.228443384841, -121.477340109882, -80.90352304386033, 621.5076739738196, 628.6554192082946, 
2025 DEC 11 23:26:10, 818767639.2100686, 3758.923268659211, -275.4503540048093, -456.127610308139, -3334.3865525510732, -121.12730760367957, -80.92070492315449, 621.3593771409331, 628.4953534861472, 
2025 DEC 11 23:26:11, 818767640.211738, 3758.924713923881, -272.146591120204, -456.96587498463043, -3334.5412199874295, -120.77596548886804, -80.93754406877969, 621.212191710128, 628.3354464425855, 
2025 DEC 11 23:26:12, 818767641.2134074, 3758.926184390132, -268.84275462088175, -457.80412063591103, -3334.692445748809, -120.4233333742344, -80.95403858842855, 621.0661193283771, 628.1756985733637, 
2025 DEC 11 23:26:13, 818767642.2150769, 3758.9276800789435, -265.53884893481893, -458.6423461780401, -3334.8402299002596, -120.06943139943833, -80.97018661603988, 620.9211616963232, 628.016110466914, 
2025 DEC 11 23:26:14, 818767643.2167463, 3758.9292009547858, -262.2348797681485, -459.48055019415386, -3334.9845724605866, -119.71428037801535, -80.98598630657574, 620.7773205605027, 627.856682687105, 
2025 DEC 11 23:26:15, 818767644.2184157, 3758.930747061809, -258.930851552871, -460.3187316181361, -3335.1254735116, -119.35790151926138, -81.0014358489127, 620.6345976009582, 627.697415768241, 
2025 DEC 11 23:26:16, 818767645.2200853, 3758.9323183616084, -255.62676881112634, -461.1568893062845, -3335.2629331466287, -119.00031657489745, -81.01653346118364, 620.4929945257561, 627.5383102597142, 
2025 DEC 11 23:26:17, 818767646.2217547, 3758.9339154503805, -252.32263688632642, -461.99502061968116, -3335.3969516104526, -118.64154797913532, -81.03127740713416, 620.3525122919326, 627.3793662622522, 
2025 DEC 11 23:26:18, 818767647.2234242, 3758.9355371384704, -249.01846043379578, -462.83312708485573, -3335.52752864026, -118.28161840519893, -81.04566592451178, 620.2131541704715, 627.2205852128857, 
