# utc [-], et [s], MEX2TGO [km], spoint_x [km], spoint_y [km], spoint_z [km], spoint_lon [deg], spoint_lat_sph [deg], spoint_lat [deg], emission_MEX [deg], emission_TGO [deg], spoint2MEX [km], spoint2TGO [km], lon_midpoint [deg], lat_midpoint [deg] 
2025 DEC 14 14:20:40, 818994109.0264996, 844.680783100436, 98.18761709054412, 583.3822917865208, -3324.583963121936, 80.44623007186502, -79.80956668413685, -79.91047750836654, 48.74417497659955, 48.75239339290436, 580.1447081647959, 543.1139467303719, 80.62358482790958, -80.133949109437
2025 DEC 14 14:20:41, 818994110.0281692, 845.0279122838542, 95.55363920491031, 585.5306160802328, -3324.2865579348054, 80.73151538167683, -79.77995440087024, -79.88137748238664, 48.74325283547337, 48.751624114879704, 580.6179809727062, 543.1050302674703, 80.91839858327276, -80.10741635291619
2025 DEC 14 14:20:42, 818994111.0298386, 845.3759312929647, 92.92034729661653, 587.6787484737577, -3323.9857058260786, 81.01510609809505, -79.75012410169099, -79.85202575792233, 48.7422633496238, 48.750857639151455, 581.0927918075681, 543.0961362612802, 81.2115956044543, -80.08062349477403
2025 DEC 14 14:20:43, 818994112.031508, 845.7248382198537, 90.28575877191325, 589.8290915355273, -3323.68103970242, 81.29722609865081, -79.72031638531458, -79.82241088758524, 48.74134593159403, 48.74994730211656, 581.5704205065659, 543.0859813132985, 81.50317365965068, -80.05357275434957
2025 DEC 14 14:20:44, 818994113.0331775, 846.0746340613166, 87.65420280928042, 591.9781328853288, -3323.3730566908475, 81.57741236113549, -79.69001901102008, -79.79253999280633, 48.74033315445278, 48.74906901824107, 582.0493309287488, 543.0761033290692, 81.79313077780094, -80.02626630498017
2025 DEC 14 14:20:45, 818994114.0348469, 846.4253109355467, 85.0234715699602, 594.1273655435527, -3323.0615575097236, 81.85589830252884, -79.65949330175073, -79.76241735507779, 48.739287402424736, 48.74815725241505, 582.5300862077835, 543.0659297871139, 82.08146526108655, -79.99870632651029
2025 DEC 14 14:20:46, 818994115.0365164, 846.7768698839075, 82.39356586185497, 596.2767862938251, -3322.7465432897875, 82.13268508751374, -79.62873916461653, -79.73204530862978, 48.73820836887698, 48.74721173093246, 583.0126862979181, 543.0554605565198, 82.36817597501482, -79.97089502364692
2025 DEC 14 14:20:47, 818994116.0381858, 847.1293088582956, 79.76727141596795, 598.4250396379234, -3322.428189794708, 82.4074952602872, -79.5974903975281, -79.70141732304201, 48.73706150662297, 48.74626956178403, 583.496808732075, 543.0450146643115, 82.65326195135721, -79.9428345881521
2025 DEC 14 14:20:48, 818994117.0398552, 847.482625949544, 77.13921056809123, 600.5749447886028, -3322.1061264967434, 82.68087323144049, -79.5662740782636, -79.6705500645174, 48.735930514155314, 48.74524182644722, 583.9832268818568, 543.0338195690774, 82.93672270088089, -79.91452721829577
2025 DEC 14 14:20:49, 818994118.0415248, 847.836819226405, 74.51196000502361, 602.7249460553614, -3321.7805668463934, 82.95255811294375, -79.53483194061717, -79.639441765391, 48.734759405275085, 48.74418753194442, 584.4714156742623, 543.0223916644843, 83.21855793171822, -79.8859750435467
2025 DEC 14 14:20:50, 818994119.0431942, 848.1918866496535, 71.8855176467387, 604.8750564641025, -3321.451509231478, 83.22255286511928, -79.50316540013232, -79.60809452055372, 48.733549129107004, 48.74310585673287, 584.9613889878411, 543.0107193687653, 83.49876775432911, -79.85718028009204
2025 DEC 14 14:20:51, 818994120.0448636, 848.5478263270048, 69.26290919560948, 607.0235390975814, -3321.11920568022, 83.49055998366684, -79.4710181350752, -79.57650587182242, 48.73224241163928, 48.74205724855676, 585.4526092104302, 542.9993313555898, 83.77735251373292, -79.8281450449214
2025 DEC 14 14:20:52, 818994121.0465331, 848.9046392659004, 66.6384884045733, 609.1744697411314, -3320.7830404000065, 83.7571533644902, -79.43888759915079, -79.54467506122897, 48.73101262808479, 48.740857642199856, 585.9466808372429, 542.9866273244758, 84.05431303570528, -79.79887153077348
2025 DEC 14 14:20:53, 818994122.0482025, 849.2623146013143, 64.01470807917667, 611.3250388956014, -3320.443467723269, 84.02207668509487, -79.40654605749813, -79.51262050844319, 48.72970310425974, 48.73967359063035, 586.4421489037044, 542.9740510897285, 84.32965021867957, -79.76936187186354
2025 DEC 14 14:20:54, 818994123.0498719, 849.6208592147046, 61.400269232193615, 613.4891310437757, -3320.097794349106, 84.28465807149945, -79.37345535169082, -79.48006007612231, 48.72962804614848, 48.73710699831176, 586.9511825773138, 542.9494449581607, 84.60336538325252, -79.7396182039609
2025 DEC 14 14:20:55, 818994124.0515414, 849.9802682956266, 58.778458035235595, 615.6402268359673, -3319.751166882452, 84.54619751156663, -79.34066333607923, -79.44754062845206, 48.72827501526113, 48.73582919044155, 587.4505247601604, 542.936047941727, 84.87546015090636, -79.70964265522264
2025 DEC 14 14:20:56, 818994125.0532109, 850.3405397806869, 56.160458494855774, 617.7883799043356, -3319.4015566014596, 84.80576623432286, -79.30742589695605, -79.41481144311753, 48.72672478714404, 48.734691480326525, 587.9501672862152, 542.9238666840366, 85.14593626702174, -79.6794373352198
2025 DEC 14 14:20:57, 818994126.0548803, 850.7016717915332, 53.54103329731547, 619.9412104386299, -3319.0476540160626, 85.06391570745063, -79.2741679138514, -79.38181420355205, 48.72543508990351, 48.733206418776724, 588.4543552724994, 542.9086617239581, 85.41479598962445, -79.64900439524781
2025 DEC 14 14:20:58, 818994127.0565498, 851.0636623641491, 50.92182748135031, 622.092598623202, -3318.6905541841825, 85.3204465930074, -79.24072980818244, -79.34862376749139, 48.72397120571293, 48.73183719209615, 588.9590547292269, 542.8944588626621, 85.68204169486974, -79.618345917158
2025 DEC 14 14:20:59, 818994128.0582192, 851.4265094821895, 48.30748026270967, 624.2425999735618, -3318.3301822977573, 85.57494243970352, -79.20680887819086, -79.31519871829815, 48.7224607756901, 48.73044716288816, 589.4654465854313, 542.8800743473179, 85.94767597191701, -79.58746400243912
2025 DEC 14 14:21:00, 818994129.0598887, 851.7902112801534, 45.69378772451727, 626.3918851919615, -3317.9664833886004, 85.82780022650759, -79.1726984478578, -79.28157074495685, 48.72084557839825, 48.72909911673451, 589.972987027766, 542.8660493489573, 86.21170177745019, -79.55636073038859
2025 DEC 14 14:21:01, 818994130.0615581, 852.1547657032116, 43.07783313431485, 628.5443573354319, -3317.598765914452, 86.07931504711136, -79.13859954458437, -79.24771181280013, 48.71935158285448, 48.72755141424231, 590.483774400551, 542.850284076402, 86.4741221922543, -79.52503818335168
2025 DEC 14 14:21:02, 818994131.0632275, 852.5201679127238, 40.466457451248985, 630.6944691497315, -3317.2279769618117, 86.3288350406233, -79.1040556182832, -79.21364229858209, 48.71772966104178, 48.72606973508274, 590.995489685854, 542.8350925215643, 86.73494062600284, -79.49349842262295
