# utc [-], et [s], MEX2TGO [km], midpoint_x [km], midpoint_y [km],midpoint_z [km], midpoint_lon [deg], midpoint_lat [deg], midpoint2MEX[km], midpoint2TGO [km] 
2025 NOV 25 16:19:48, 817359657.1829547, 3759.311995502012, -341.78114159714397, -394.21325390256317, -3336.1209705636284, -130.92514281409544, -81.11134967082151, 531.7099814674893, 541.3322099777448, 
2025 NOV 25 16:19:49, 817359658.1846241, 3759.309522864242, -339.2219646905468, -396.22855516886847, -3336.143162497623, -130.56772475244063, -81.11381528278447, 530.905564504774, 540.5431535270938, 
2025 NOV 25 16:19:50, 817359659.1862936, 3759.307075086301, -336.66293285444704, -398.2437139003534, -3336.1622134155136, -130.2101460397535, -81.11593245732018, 530.1034417416953, 539.755259146923, 
2025 NOV 25 16:19:51, 817359660.187963, 3759.304652095733, -334.10404976546306, -400.25872718125237, -3336.1781239381125, -129.85243491090256, -81.1177010160798, 529.3036272293407, 538.9685343481938, 
2025 NOV 25 16:19:52, 817359661.1896324, 3759.302254001153, -331.54531713094576, -402.2735924270359, -3336.190894849362, -129.49461947320538, -81.11912083945325, 528.5061365139852, 538.1829873661717, 
2025 NOV 25 16:19:53, 817359662.191302, 3759.2998801119675, -328.98674086645974, -404.28830909440074, -3336.2005262810676, -129.1367280976573, -81.12019177601947, 527.7109810402433, 537.3986241638218, 
2025 NOV 25 16:19:54, 817359663.1929713, 3759.297531765565, -326.4283215489647, -406.3028728490395, -3336.2070193478517, -128.77878900372673, -81.12091382439957, 526.918175214426, 536.6154526382475, 
2025 NOV 25 16:19:55, 817359664.1946408, 3759.2952082529305, -323.8700629595707, -408.31728204442123, -3336.2103745350314, -128.42083051745504, -81.12128695405987, 526.1277337490333, 535.8334804480975, 
2025 NOV 25 16:19:56, 817359665.1963103, 3759.2929096192265, -321.31196682424167, -410.3315338913948, -3336.210592668906, -128.06288087659308, -81.1213112132211, 525.339672381057, 535.0527158619874, 
2025 NOV 25 16:19:57, 817359666.1979797, 3759.290635866627, -318.7540389068166, -412.34562686288285, -3336.207674043343, -127.70496857806556, -81.12098663172492, 524.5540022938369, 534.2731649643604, 
2025 NOV 25 16:19:58, 817359667.1996492, 3759.2883869668563, -316.19627957214067, -414.35955778850456, -3336.201619671834, -127.34712174551869, -81.12031336025025, 523.770740763177, 533.4948367441207, 
2025 NOV 25 16:19:59, 817359668.2013186, 3759.2861629932786, -313.63869457235126, -416.37332517099696, -3336.19242986077, -126.9893688279757, -81.11929151159967, 522.9898991320405, 532.7177374009108, 
2025 NOV 25 16:20:00, 817359669.202988, 3759.28396384083, -311.0812845805623, -418.3869255421661, -3336.1801056409663, -126.63173791797252, -81.11792131981159, 522.2114948518079, 531.9418759941202, 
2025 NOV 25 16:20:01, 817359670.2046576, 3759.2817896283523, -308.5240544493377, -420.40035811854074, -3336.1646473283668, -126.27425724013361, -81.11620298002362, 521.4355390578315, 531.1672585557476, 
2025 NOV 25 16:20:02, 817359671.206327, 3759.279640281859, -305.96700571924765, -422.4136188269357, -3336.14605595844, -125.9169548722496, -81.11413680782037, 520.662049605608, 530.3938944874512, 
2025 NOV 25 16:20:03, 817359672.2079964, 3759.2775158126346, -303.4101422104137, -424.4267061281485, -3336.1243320486983, -125.55985884405936, -81.1117231015188, 519.8910392779469, 529.6217905775342, 
2025 NOV 25 16:20:04, 817359673.2096659, 3759.2754162406895, -300.85346774344123, -426.4396185617287, -3336.099476113041, -125.20299708671705, -81.10896219919339, 519.1225209958156, 528.8509536498921, 
2025 NOV 25 16:20:05, 817359674.2113353, 3759.2733415853727, -298.29698384007196, -428.4523520741486, -3336.071489203825, -124.84639738053731, -81.1058545386711, 518.3565127347579, 528.0813932778207, 
2025 NOV 25 16:20:06, 817359675.2130047, 3759.271291820851, -295.7406943092021, -430.46490517627075, -3336.04037185145, -124.490087424827, -81.10240053952522, 517.5930274659258, 527.3131162921911, 
2025 NOV 25 16:20:07, 817359676.2146742, 3759.269266955176, -293.18460189834525, -432.47727572607744, -3336.0061247683802, -124.13409473083482, -81.09860068104035, 516.8320797831236, 526.5461304106451, 
2025 NOV 25 16:20:08, 817359677.2163436, 3759.267266292731, -290.62871127930134, -434.48946143571004, -3335.9687485247623, -123.77844684663079, -81.09445546594358, 516.0736853420233, 525.7804438291931, 
2025 NOV 25 16:20:09, 817359678.218013, 3759.265291245003, -288.07302313876, -436.5014592224732, -3335.928244144376, -123.42317084639951, -81.08996548620526, 515.3178573961836, 525.0160638757806, 
2025 NOV 25 16:20:10, 817359679.2196826, 3759.2633410912754, -285.51754124082635, -438.51326745459005, -3335.8846122028194, -123.06829382325864, -81.08513132271439, 514.5646114367881, 524.2529985297192, 
2025 NOV 25 16:20:11, 817359680.221352, 3759.2614158471006, -282.962269223874, -440.52488332803927, -3335.8378534456683, -122.71384274691971, -81.07995361351236, 513.8139624903253, 523.4912558568288, 
2025 NOV 25 16:20:12, 817359681.2230215, 3759.2595155044673, -280.40720952155226, -442.5363049948076, -3335.787968602121, -122.35984422393419, -81.07443303277559, 513.0659253275356, 522.7308435999679, 
2025 NOV 25 16:20:13, 817359682.2246909, 3759.257640086965, -277.8523647222585, -444.5475290056645, -3335.734958602477, -122.00632476137366, -81.06857031449678, 512.320516710408, 521.9717706942297, 
2025 NOV 25 16:20:14, 817359683.2263603, 3759.2557896009835, -275.29773964314813, -446.5585545256069, -3335.6788238566405, -121.65331070217037, -81.06236617230576, 511.57774832854017, 521.2140434057557, 
