# MEX_intpoint_lon [deg], MEX_intpoint_lat [deg], MEX_intpoint_angle [deg], TGO_intpoint_lon [deg], TGO_intpoint_lat [deg], TGO_intpoint_angle [deg] 
-102.07125100224508, 19.967375811221224, 21.303998580267454, -118.16465636931885, 54.32045344654192, 62.60832215893167 
-103.00830836373768, 19.655879402107026, 21.304461622536493, -118.7459826908623, 54.00431892217971, 62.61171563148165 
-103.94379752496145, 19.345100859256046, 21.30491756704543, -119.32681465707924, 53.69069221350611, 62.615094865480174 
-104.87778664993144, 19.03512154880814, 21.305366283338806, -119.90720130134692, 53.379603132466976, 62.61845884730438 
-105.81034320127984, 18.726022275158055, 21.305807649546107, -120.48718949547033, 53.07108135740212, 62.62180658003423 
-106.74153390240805, 18.417883285578473, 21.306241552400675, -121.0668240449242, 52.765156432413306, 62.62513708371251 
-107.6714247011637, 18.11078427461552, 21.30666788724823, -121.64614777810904, 52.46185776639705, 62.62844939558488 
-108.60008073496938, 17.804804388219488, 21.307086558045118, -122.2252016300495, 52.16121463175883, 62.631742570321 
-109.52756629733511, 17.50002222757468, 21.307497477346075, -122.80402472093188, 51.863256162822985, 62.63501568021547 
-110.45394480568802, 17.196515852594842, 21.307900566281937, -123.38265442984493, 51.568011353952514, 62.63826781536947 
-111.3792787704582, 16.894362785052085, 21.30829575452699, -123.96112646406168, 51.27550905739134, 62.641498083853435 
-112.30362976536156, 16.593640011309166, 21.30868298025628, -124.53947492417375, 50.98577798084136, 62.644705611849616 
-113.22705839882528, 16.2944239846267, 21.30906219009289, -125.11773236536588, 50.69884668478548, 62.64788954377624 
-114.14962428650479, 15.99679062701867, 21.309433339045242, -125.69592985509834, 50.414743579567194, 62.65104904239193 
-115.07138602484454, 15.700815330631274, 21.30979639043463, -126.27409702744328, 50.13349692223716, 62.6541832888819 
-115.99240116563905, 15.40657295862163, 21.310151315813023, -126.85226213430573, 49.85513481317579, 62.657291482924784 
-116.91272619155392, 15.114137845514934, 21.310498094871335, -127.43045209374046, 49.57968519250152, 62.66037284274145 
-117.83241649257043, 14.823583797019623, 21.31083671533825, -128.00869253556377, 49.30717583627301, 62.663426605125174 
-118.75152634332098, 14.534984089282375, 21.311167172869872, -128.58700784444312, 49.03763435249386, 62.666452025454184 
-119.67010888128581, 14.248411467565663, 21.31148947093017, -129.16542120063616, 48.77108817692766, 62.66944837768573 
-120.58821608582561, 13.9639381443328, 21.31180362066267, -129.74395461853788, 48.50756456873141, 62.672414954333576 
-121.50589875802784, 13.681635796726285, 21.312109640753288, -130.3226289831851, 48.24709060591438, 62.675351066427254 
-122.42320650134748, 13.40157556342734, 21.31240755728478, -130.90146408485552, 47.98969318063016, 62.67825604345539 
-123.34018770302758, 13.123828040885611, 21.31269740358281, -131.4804786518922, 47.735398994308625, 62.681129233291756 
-124.25688951628682, 12.848463278909863, 21.312979220054036, -132.0596903818724, 47.484234552635044, 62.6839700021055 
