# utc [-], et [s], MEX2TGO [km], midpoint_x [km], midpoint_y [km],midpoint_z [km], midpoint_lon [deg], midpoint_lat [deg], midpoint2MEX[km], midpoint2TGO [km] 
2025 AUG 15 19:39:12, 808558821.1829247, 3761.283746733674, -765.399260461753, -643.8158879606898, -3226.473743216376, -139.93111779603808, -72.77720232310833, 1821.0517202548858, 711.3602764728815, 
2025 AUG 15 19:39:13, 808558822.1838027, 3761.2760585926517, -763.6563368750863, -643.2934418418583, -3226.9848333787804, -139.88968104614074, -72.80682275445173, 1819.243009795958, 709.923550092961, 
2025 AUG 15 19:39:14, 808558823.1846807, 3761.268393126403, -761.9126040366391, -642.7709935239099, -3227.4950180876885, -139.8480755947625, -72.83644030265053, 1817.435398522247, 708.4899072363162, 
2025 AUG 15 19:39:15, 808558824.1855587, 3761.260750357984, -760.1680617736619, -642.2485422445397, -3228.0042966654014, -139.80630058593667, -72.8660549209106, 1815.628891031954, 707.0593668397927, 
2025 AUG 15 19:39:16, 808558825.1864367, 3761.253130339781, -758.4227097565637, -641.726087717564, -3228.512668375315, -139.76435513118108, -72.89566655867313, 1813.823492282706, 705.6319473011513, 
2025 AUG 15 19:39:17, 808558826.1873145, 3761.245533011827, -756.6765475170803, -641.2036288485807, -3229.0201326697584, -139.72223836655115, -72.92527517605576, 1812.0192074608872, 704.2076674229169, 
2025 AUG 15 19:39:18, 808558827.1881925, 3761.237958395374, -754.9295751033285, -640.6811666662926, -3229.5266884627995, -139.67994934791682, -72.95488070140625, 1810.2160406605262, 702.7865456937033, 
2025 AUG 15 19:39:19, 808558828.1890705, 3761.2304065318376, -753.1817920151643, -640.1587001873108, -3230.032335189024, -139.6374871933392, -72.98448309307022, 1808.4139972486735, 701.3686009987906, 
2025 AUG 15 19:39:20, 808558829.1899484, 3761.2228774237183, -751.4331980879165, -639.6362286357986, -3230.537072162569, -139.5948510183552, -73.01408230202625, 1806.6130818841025, 699.9538527404563, 
2025 AUG 15 19:39:21, 808558830.1908264, 3761.215371077047, -749.683792594842, -639.113751003356, -3231.040898870131, -139.55203992165843, -73.04367828904932, 1804.813299757891, 698.5423198119211, 
2025 AUG 15 19:39:22, 808558831.1917044, 3761.2078874987396, -747.9335759796737, -638.591268435773, -3231.54381410673, -139.50905294462717, -73.07327097389768, 1803.0146554302034, 697.1340214496477, 
2025 AUG 15 19:39:23, 808558832.1925824, 3761.2004266888075, -746.1825472263379, -638.0687789630333, -3232.0458176094176, -139.46588920532741, -73.10286033133976, 1801.2171541655093, 695.7289769853599, 
2025 AUG 15 19:39:24, 808558833.1934603, 3761.192988665747, -744.430707088475, -637.5462846846852, -3232.5469079146187, -139.42254770225347, -73.13244626500715, 1799.4208005255127, 694.3272056688276, 
2025 AUG 15 19:39:25, 808558834.1943383, 3761.185573426622, -742.6780539041497, -637.0237817003026, -3233.0470852779563, -139.3790276021996, -73.16202877962357, 1797.6255999129312, 692.9287273734567, 
2025 AUG 15 19:39:26, 808558835.1952162, 3761.178181050865, -740.9245886854216, -636.5012721518581, -3233.5463481664997, -139.33532789915222, -73.19160777387546, 1795.8315571408266, 691.5335618063957, 
2025 AUG 15 19:39:27, 808558836.1960942, 3761.170811421227, -739.1703099263003, -635.9787539679501, -3234.044696438031, -139.29144767197909, -73.22118322834335, 1794.0386770702494, 690.1417282889291, 
2025 AUG 15 19:39:28, 808558837.1969721, 3761.1634646686725, -737.4152183219471, -635.4562283423778, -3234.5421288146044, -139.24738593198714, -73.25075505588278, 1792.2469646097372, 688.7532469465513, 
2025 AUG 15 19:39:29, 808558838.1978501, 3761.156140710174, -735.6593131382475, -634.9336942873973, -3235.0386447642786, -139.20314172646675, -73.28032321319691, 1790.4564250690414, 687.3681375032774, 
2025 AUG 15 19:39:30, 808558839.1987281, 3761.148839634584, -733.9025942042574, -634.411150971017, -3235.534243595425, -139.15871411096018, -73.30988764714031, 1788.6670632360251, 685.9864204308109, 
2025 AUG 15 19:39:31, 808558840.1996061, 3761.1415613892127, -732.1450607862429, -633.8885974035701, -3236.0289247709165, -139.11410211987504, -73.3394483134248, 1786.8788844671244, 684.6081156977311, 
2025 AUG 15 19:39:32, 808558841.200484, 3761.134306008286, -730.3867133390992, -633.3660347556453, -3236.5226870674815, -139.06930473040248, -73.36900512633142, 1785.0918934476078, 683.2332436043552, 
2025 AUG 15 19:39:33, 808558842.201362, 3761.1270734767786, -728.6275511097197, -632.8434619746952, -3237.0155299611774, -139.02432096574006, -73.39855804150176, 1783.3060956203085, 681.8618243987809, 
2025 AUG 15 19:39:34, 808558843.20224, 3761.1198638715664, -726.8675739692937, -632.3208782816291, -3237.507452733402, -138.97914985444493, -73.42810700255026, 1781.5214957715436, 680.4938789345995, 
2025 AUG 15 19:39:35, 808558844.2031178, 3761.11267710844, -725.1067813590466, -631.7982827318702, -3237.9984547908853, -138.9337904090951, -73.4576519602314, 1779.738099580032, 679.1294277575734, 
2025 AUG 15 19:39:36, 808558845.2039958, 3761.1055132969645, -723.3451733507977, -631.2756763208774, -3238.488535024598, -138.88824157299982, -73.48719283382431, 1777.955911357487, 677.7684913468971, 
2025 AUG 15 19:39:37, 808558846.2048738, 3761.0983723614486, -721.5827490398838, -630.75305718523, -3238.9776930907606, -138.8425023727915, -73.51672958827686, 1776.1749368560775, 676.4110906460734, 
2025 AUG 15 19:39:38, 808558847.2057518, 3761.0912543380005, -719.8195088869852, -630.230426578762, -3239.4659277421115, -138.79657174164996, -73.54626213357774, 1774.3951810206872, 675.0572464431925, 
2025 AUG 15 19:39:39, 808558848.2066298, 3761.084159245099, -718.0554522644461, -629.7077830361368, -3239.9532384931936, -138.7504486854277, -73.57579042527023, 1772.6166488543029, 673.7069800750963, 
2025 AUG 15 19:39:40, 808558849.2075077, 3761.077087098844, -716.2905785066025, -629.1851254315364, -3240.439624798309, -138.70413218621633, -73.60531441490977, 1770.8393459795527, 672.3603125835423, 
2025 AUG 15 19:39:41, 808558850.2083857, 3761.0700378937954, -714.5248880269786, -628.6624550008306, -3240.9250854206666, -138.6576211552204, -73.6348340116346, 1769.0632771419853, 671.0172651808269, 
2025 AUG 15 19:39:42, 808558851.2092637, 3761.0630116274433, -712.7583797874163, -628.1397696852943, -3241.4096200709087, -138.61091458772935, -73.66434918169001, 1767.288448020142, 669.6778592730674, 
2025 AUG 15 19:39:43, 808558852.2101415, 3761.0560083245573, -710.9910543715005, -627.6170709552339, -3241.893227428218, -138.56401137688235, -73.69385982806992, 1765.5148638055168, 668.3421163575108, 
2025 AUG 15 19:39:44, 808558853.2110195, 3761.0490280067092, -709.2229108047026, -627.09435706068, -3242.3759071256754, -138.51691049218826, -73.72336591142954, 1763.7425291939674, 667.0100579177883, 
