# lon_gridpoint [deg], lat_gridpoint [deg], P_R_modelGRS [W], P_R_modelFREND [W] 
0.125, 18.375, 4.148785846838262e-23, 4.119589866489594e-23 
0.375, 18.375, 2.2559100879188325e-23, 2.2402006038686554e-23 
0.625, 18.375, 1.779693572362011e-23, 1.7674840240106203e-23 
0.875, 18.375, 2.4567477480868033e-23, 2.4402210480096147e-23 
1.125, 18.375, 2.415375938641494e-23, 2.3994497979666533e-23 
1.375, 18.375, 1.6887120876336883e-23, 1.6777998976518067e-23 
1.625, 18.375, 2.4206094337618138e-23, 2.405341845497779e-23 
1.875, 18.375, 2.5836315260199153e-23, 2.5678069767738846e-23 
2.125, 18.375, 3.926095226743808e-23, 3.9027643385292096e-23 
2.375, 18.375, 3.563635623589644e-23, 3.54307811214657e-23 
2.625, 18.375, 2.1813956534379637e-23, 2.1691818611995765e-23 
2.875, 18.375, 1.6546019421809813e-23, 1.6456105215516066e-23 
3.125, 18.375, 1.3102711377322062e-23, 1.3033669120825754e-23 
3.375, 18.375, 2.182261669457256e-23, 2.1710893087014684e-23 
3.625, 18.375, 2.3763465727545865e-23, 2.3644369590731888e-23 
3.875, 18.375, 6.241149784396116e-23, 6.210526199908414e-23 
4.125, 18.375, 6.568266310705772e-23, 6.536727390975185e-23 
4.375, 18.375, 6.515930362132961e-23, 6.485154174348649e-23 
4.625, 18.375, 3.949855272328185e-23, 3.931505394065939e-23 
4.875, 18.375, 1.837835820385822e-22, 1.8294730310789295e-22 
5.125, 18.375, 7.444685558065941e-23, 7.411267335721764e-23 
5.375, 18.375, 6.238719651916678e-23, 6.211098389874466e-23 
5.625, 18.375, 2.4734922080039285e-22, 2.462632039730251e-22 
5.875, 18.375, 1.9009456089053033e-22, 1.8926127037259263e-22 
6.125, 18.375, 7.17628948313717e-23, 7.144882494236607e-23 
6.375, 18.375, 7.197510392962938e-23, 7.165961876735545e-23 
6.625, 18.375, 5.568895510110152e-23, 5.544478538966943e-23 
-1.875, 18.625, 3.834363478506551e-23, 3.8078151816334906e-23 
-1.625, 18.625, 3.806857679174546e-23, 3.7799302719212985e-23 
-1.375, 18.625, 2.956819253055906e-23, 2.935696309922176e-23 
-1.125, 18.625, 3.08235499752499e-23, 3.0602263457153335e-23 
-0.875, 18.625, 4.445519185497055e-23, 4.413447112009006e-23 
-0.625, 18.625, 1.336898119446209e-23, 1.3272058648326936e-23 
-0.375, 18.625, 2.5416787554924397e-23, 2.5233017634999004e-23 
-0.125, 18.625, 5.722237598216474e-23, 5.681285103963528e-23 
0.125, 18.625, 5.4200063888138e-23, 5.381615426888245e-23 
0.375, 18.625, 2.4428484853529256e-23, 2.425724947055386e-23 
0.625, 18.625, 1.9097553492911118e-23, 1.896567718423305e-23 
0.875, 18.625, 2.0106629921619168e-23, 1.997046808544179e-23 
1.125, 18.625, 1.86728098637483e-23, 1.8548849131767393e-23 
1.375, 18.625, 2.313517932605058e-23, 2.2984681547390624e-23 
1.625, 18.625, 2.1248779249414305e-23, 2.1114114496220174e-23 
1.875, 18.625, 2.2067526447599357e-23, 2.1931698225151586e-23 
2.125, 18.625, 1.0364871866532072e-23, 1.0302877866114124e-23 
2.375, 18.625, 3.6349286234719475e-23, 3.613817550203196e-23 
2.625, 18.625, 3.896948466203725e-23, 3.874976626630544e-23 
