# lon_gridpoint [deg], lat_gridpoint [deg], P_R_modelGRS [W], P_R_modelFREND [W] 
-11.375, 35.375, 1.2414390677003074e-22, 1.2389668218498562e-22 
-11.125, 35.375, 1.2056295121343085e-22, 1.203276369867805e-22 
-10.875, 35.375, 9.346247009509898e-23, 9.32835124300038e-23 
-10.625, 35.375, 9.724380435834677e-23, 9.706120836466363e-23 
-10.375, 35.375, 1.0945741585013723e-22, 1.092512278334273e-22 
-10.125, 35.375, 1.8486337266728668e-22, 1.8450844548112553e-22 
-9.875, 35.375, 1.095726975270759e-22, 1.0935835593638776e-22 
-9.625, 35.375, 1.7243776603821231e-22, 1.720984503270477e-22 
-9.375, 35.375, 1.8832149357121001e-22, 1.8794466067026158e-22 
-9.125, 35.375, 1.661233867713921e-23, 1.657854309843244e-23 
-8.875, 35.375, 1.849461912083016e-23, 1.8456774761615176e-23 
-8.625, 35.375, 2.2227261312086437e-23, 2.218151525259148e-23 
-8.375, 35.375, 5.124414230634147e-23, 5.1136996405411396e-23 
-8.125, 35.375, 4.0377619698778417e-23, 4.029123635766968e-23 
-7.875, 35.375, 3.9622326797748254e-23, 3.9535637830452256e-23 
-15.875, 35.625, 1.817095825014531e-23, 1.8133939460404447e-23 
-15.625, 35.625, 1.730691662823029e-23, 1.727299352997907e-23 
-15.375, 35.625, 2.0588241821796558e-23, 2.054855072757553e-23 
-15.125, 35.625, 1.3609260565060328e-23, 1.3583185448116036e-23 
-14.875, 35.625, 2.7607011136895844e-23, 2.7554444243620624e-23 
-14.625, 35.625, 2.85926368656858e-23, 2.853853261780448e-23 
-14.375, 35.625, 2.581945182185035e-23, 2.5770811984758437e-23 
-14.125, 35.625, 3.749338678392174e-23, 3.742320012815755e-23 
-13.875, 35.625, 3.328550793632311e-23, 3.322359344463663e-23 
-13.625, 35.625, 1.0009312450404835e-22, 9.990812913716283e-23 
-13.375, 35.625, 1.1365206909555563e-22, 1.1344081213557825e-22 
-13.125, 35.625, 4.877602627986852e-23, 4.8684153860219304e-23 
-12.875, 35.625, 7.69569552163793e-23, 7.68100974648527e-23 
-12.625, 35.625, 2.2839986540950745e-22, 2.2795791138919186e-22 
-12.375, 35.625, 5.649058942403683e-23, 5.638170761970529e-23 
-12.125, 35.625, 6.454795939975682e-23, 6.442593830650278e-23 
-11.875, 35.625, 1.2401117114348887e-22, 1.237813342608577e-22 
-11.625, 35.625, 1.1823776481769369e-22, 1.1802300736547732e-22 
-11.375, 35.625, 8.237472300868085e-23, 8.222791013068766e-23 
-11.125, 35.625, 1.2098388452551972e-22, 1.2077274110699748e-22 
-10.875, 35.625, 1.1672189601524495e-22, 1.165225136966981e-22 
-10.625, 35.625, 7.315489899760704e-23, 7.303264646050873e-23 
-10.375, 35.625, 7.34046228421e-23, 7.328151153104899e-23 
-10.125, 35.625, 1.3548698880740815e-22, 1.352548493760967e-22 
-9.875, 35.625, 1.502820513765334e-22, 1.5001912067657951e-22 
-9.625, 35.625, 1.3128058247664627e-22, 1.3104492867973722e-22 
-9.375, 35.625, 8.939992953189328e-23, 8.923697028603702e-23 
-9.125, 35.625, 4.0858583995180304e-23, 4.0783621421876443e-23 
-8.875, 35.625, 2.6366157817738008e-23, 2.6317471255772056e-23 
-8.625, 35.625, 3.4214136946571705e-23, 3.415055249793493e-23 
-8.375, 35.625, 3.5451630962963845e-23, 3.538458450506623e-23 
-8.125, 35.625, 2.4521102816190953e-22, 2.4473539192192457e-22 
-7.875, 35.625, 1.5849694217283524e-22, 1.5818181964643913e-22 
-7.625, 35.625, 7.472022792433024e-23, 7.456804645422954e-23 
-7.375, 35.625, 7.423669190987232e-23, 7.40793023727819e-23 
-7.125, 35.625, 7.2052222222531e-23, 7.189218678755867e-23 
-6.875, 35.625, 1.3632658130070902e-22, 1.3601001761947182e-22 
-6.625, 35.625, 1.7724082652548105e-22, 1.7681135636658007e-22 
-6.375, 35.625, 1.5455910973049206e-22, 1.5417189863927459e-22 
-6.125, 35.625, 1.1454601735640698e-22, 1.1425167716046304e-22 
-5.875, 35.625, 1.0979689711765065e-22, 1.0950769402183546e-22 
-5.625, 35.625, 1.247276050997527e-22, 1.2439104793921962e-22 
-5.375, 35.625, 1.069840619264525e-22, 1.06686088204937e-22 
-5.125, 35.625, 1.241392969413312e-22, 1.237811524107434e-22 
-4.875, 35.625, 9.660844294618082e-23, 9.63200837378098e-23 
-4.625, 35.625, 5.249788219648891e-23, 5.2335945967209034e-23 
-4.375, 35.625, 5.161405996056843e-23, 5.1448896070099885e-23 
-4.125, 35.625, 4.03469308824384e-23, 4.021210667175635e-23 
-3.875, 35.625, 2.661519298885763e-23, 2.65224852456547e-23 
-3.625, 35.625, 2.892008394632322e-23, 2.8815251440928874e-23 
-3.375, 35.625, 2.9807553341877926e-23, 2.9695199466942964e-23 
-18.125, 35.875, 3.6048264801880913e-23, 3.5956484192087023e-23 
-17.875, 35.875, 3.615807062559821e-23, 3.6069355024368896e-23 
-17.625, 35.875, 1.2550752212602047e-23, 1.252106387229979e-23 
-17.375, 35.875, 6.062754169971562e-24, 6.048748491343927e-24 
-17.125, 35.875, 1.0954313300895638e-23, 1.0929451625074141e-23 
-16.875, 35.875, 1.671468670654158e-23, 1.667742901466002e-23 
-16.625, 35.875, 2.2537590236874712e-23, 2.2488713226984486e-23 
-16.375, 35.875, 3.419092572065517e-23, 3.411941434551238e-23 
-16.125, 35.875, 3.0750834550656274e-23, 3.0688890865589997e-23 
-15.875, 35.875, 1.482295259327438e-23, 1.479423729928463e-23 
-15.625, 35.875, 2.4074282974228414e-23, 2.4029503286908012e-23 
-15.375, 35.875, 1.2033607962299403e-23, 1.2011598367603034e-23 
-15.125, 35.875, 1.0506278827648683e-23, 1.0487153938870441e-23 
-14.875, 35.875, 1.455666736560629e-23, 1.4530342220024884e-23 
-14.625, 35.875, 1.694784598041206e-23, 1.691772303318788e-23 
-14.375, 35.875, 2.735588563667989e-23, 2.730796774386682e-23 
-14.125, 35.875, 3.857511268498765e-23, 3.850800058239968e-23 
-13.875, 35.875, 6.326148729141592e-23, 6.315217740362577e-23 
-13.625, 35.875, 6.188660029876036e-23, 6.178040079115664e-23 
-13.375, 35.875, 8.618708441152974e-23, 8.604020767102816e-23 
-13.125, 35.875, 5.794803375819363e-23, 5.784846294239311e-23 
-12.875, 35.875, 4.231228324479446e-23, 4.223853184079457e-23 
-12.625, 35.875, 8.686470477987364e-23, 8.67109792993525e-23 
-12.375, 35.875, 5.348337421023803e-23, 5.338915533142186e-23 
-12.125, 35.875, 3.790390392464511e-23, 3.783853432930028e-23 
-11.875, 35.875, 7.834329651880504e-23, 7.821108594519977e-23 
-11.625, 35.875, 8.605781593053607e-23, 8.591554875423519e-23 
-11.375, 35.875, 5.592627194323308e-23, 5.583576993331895e-23 
-11.125, 35.875, 1.720134808302202e-23, 1.717414922684668e-23 
-10.875, 35.875, 6.914949358112613e-23, 6.904271484738376e-23 
-10.625, 35.875, 5.03855006264159e-23, 5.031033893725061e-23 
-10.375, 35.875, 2.074979306670061e-22, 2.0718983652271034e-22 
-10.125, 35.875, 3.1913474146092796e-22, 3.186493337355365e-22 
-9.875, 35.875, 2.532716545073451e-22, 2.5287495472494774e-22 
-9.625, 35.875, 2.714101815160162e-22, 2.709767054663527e-22 
-9.375, 35.875, 3.495259614932083e-22, 3.4896357461164545e-22 
-9.125, 35.875, 2.5785748713991707e-22, 2.5743953310451897e-22 
-8.875, 35.875, 1.880020975002556e-22, 1.876951379742829e-22 
-8.625, 35.875, 2.0871510630002675e-22, 2.083718496986166e-22 
-8.375, 35.875, 3.241201786030536e-22, 3.2357746768843564e-22 
-8.125, 35.875, 4.112442073584161e-22, 4.105363886413946e-22 
-7.875, 35.875, 2.0248763608050539e-22, 2.021293034797459e-22 
-7.625, 35.875, 1.1883829042870948e-22, 1.186222259337764e-22 
-7.375, 35.875, 8.9593395196085e-23, 8.942329215285988e-23 
-7.125, 35.875, 1.6687697053938365e-22, 1.6654357992944529e-22 
-6.875, 35.875, 2.087110527504881e-22, 2.0827300777327554e-22 
-6.625, 35.875, 1.7041501245948888e-22, 1.700401345158284e-22 
-6.375, 35.875, 1.4296141513070212e-22, 1.4263539492949634e-22 
-6.125, 35.875, 1.1871246674254086e-22, 1.184341053226576e-22 
-5.875, 35.875, 7.46901780995278e-23, 7.451023494838984e-23 
-5.625, 35.875, 9.939658490731196e-23, 9.91490883421467e-23 
-5.375, 35.875, 9.497734855461568e-23, 9.472746963549846e-23 
-5.125, 35.875, 1.0155226433447933e-22, 1.0127187854659622e-22 
-4.875, 35.875, 6.23940983726265e-23, 6.221560175201856e-23 
-4.625, 35.875, 7.907933684073977e-23, 7.884521581616333e-23 
-4.375, 35.875, 6.248030260954244e-23, 6.228768411685702e-23 
-4.125, 35.875, 1.9880021238140615e-23, 1.9815918171762253e-23 
-3.875, 35.875, 3.358552594684969e-23, 3.347247290219756e-23 
-3.625, 35.875, 5.159851065350606e-23, 5.14177494336903e-23 
-3.375, 35.875, 5.385320103339769e-23, 5.365613592195986e-23 
-3.125, 35.875, 5.623791180507492e-23, 5.602320179771469e-23 
-2.875, 35.875, 3.079731349076432e-23, 3.067521026039485e-23 
-2.625, 35.875, 6.48016316621952e-23, 6.453519434848076e-23 
-2.375, 35.875, 4.4829998170583245e-23, 4.4638606783727253e-23 
-2.125, 35.875, 6.575027188389103e-23, 6.54580833723041e-23 
-1.875, 35.875, 1.0004174827962619e-22, 9.957949913752114e-23 
-1.625, 35.875, 8.559360126633611e-23, 8.518299009486939e-23 
-1.375, 35.875, 1.5892037907286787e-22, 1.5813674659312226e-22 
-1.125, 35.875, 7.182754492995924e-23, 7.146668844148425e-23 
-20.125, 36.125, 2.1633262551704223e-23, 2.1564392993199313e-23 
-19.875, 36.125, 2.728239554067457e-23, 2.71975321866272e-23 
-19.625, 36.125, 9.011175725813168e-24, 8.983979386316764e-24 
-19.375, 36.125, 7.598392437733278e-24, 7.576162724930577e-24 
-19.125, 36.125, 6.261734729775641e-24, 6.243994651386022e-24 
-18.875, 36.125, 8.651770421250792e-24, 8.628034192888884e-24 
-18.625, 36.125, 6.406130913907698e-24, 6.389114612759268e-24 
-18.375, 36.125, 8.907555638741787e-24, 8.884672192596212e-24 
-18.125, 36.125, 3.8781952445719853e-23, 3.868570603262469e-23 
-17.875, 36.125, 3.494256500568098e-23, 3.48590338153693e-23 
-17.625, 36.125, 1.3868096935492097e-23, 1.3836166361041075e-23 
-17.375, 36.125, 8.016542150040437e-24, 7.998528120213084e-24 
-17.125, 36.125, 1.2060198071190845e-23, 1.2033586393946785e-23 
-16.875, 36.125, 6.775551213403808e-24, 6.761008845119057e-24 
-16.625, 36.125, 1.2034702797330893e-23, 1.2009801214129539e-23 
-16.375, 36.125, 2.6818821752086594e-23, 2.676539874606697e-23 
-16.125, 36.125, 4.347143916897737e-23, 4.338819804949992e-23 
-15.875, 36.125, 3.869036997956966e-23, 3.8619268824276554e-23 
-15.625, 36.125, 3.3672270598717575e-23, 3.3612988965835466e-23 
-15.375, 36.125, 2.743201604303439e-23, 2.7384572454250574e-23 
-15.125, 36.125, 2.288020288853929e-23, 2.2840721388507417e-23 
-14.875, 36.125, 1.3347430617852224e-23, 1.3324771127839392e-23 
-14.625, 36.125, 1.5746136601637374e-23, 1.572016834745348e-23 
-14.375, 36.125, 3.05622601308939e-23, 3.0512644110951093e-23 
-14.125, 36.125, 4.8739086989375024e-23, 4.866054059064913e-23 
-13.875, 36.125, 4.9179448351752087e-23, 4.910077614748553e-23 
-13.625, 36.125, 7.132344645332231e-23, 7.121019735447803e-23 
-13.375, 36.125, 9.404316923670326e-23, 9.389496176821501e-23 
-13.125, 36.125, 3.449420032984666e-23, 3.444024869939663e-23 
-12.875, 36.125, 4.55961382951704e-23, 4.5524175397061445e-23 
-12.625, 36.125, 1.407131778726728e-22, 1.4048734052899335e-22 
-12.375, 36.125, 1.252045696673141e-22, 1.2500463233818736e-22 
-12.125, 36.125, 4.6468960576363163e-23, 4.639647572881729e-23 
-11.875, 36.125, 7.102410865947128e-23, 7.091576664323454e-23 
-11.625, 36.125, 5.440873435973754e-23, 5.432746798522022e-23 
-11.375, 36.125, 7.427373101719998e-23, 7.416538711373783e-23 
-11.125, 36.125, 5.50386542534824e-23, 5.49604067855525e-23 
-10.875, 36.125, 2.0350512527852376e-23, 2.0322646301671975e-23 
-10.625, 36.125, 5.424279627725542e-23, 5.417223175874716e-23 
-10.375, 36.125, 7.363165098078967e-23, 7.353637344407443e-23 
-10.125, 36.125, 1.8334951467302266e-22, 1.8310399190879564e-22 
-9.875, 36.125, 7.20935761546196e-23, 7.19948082017725e-23 
-9.625, 36.125, 1.1967025200898423e-22, 1.19504883025915e-22 
-9.375, 36.125, 2.795139564218515e-22, 2.7912438459727113e-22 
-9.125, 36.125, 2.6088347479095543e-22, 2.6051677118914563e-22 
-8.875, 36.125, 2.1018586567761413e-22, 2.0988792789493393e-22 
-8.625, 36.125, 2.3676841420245006e-22, 2.3642998429781523e-22 
-8.375, 36.125, 2.890473036012454e-22, 2.88625535978019e-22 
-8.125, 36.125, 3.0927525765660136e-22, 3.088105965090816e-22 
-7.875, 36.125, 1.5669932146910324e-22, 1.5645656640832818e-22 
-7.625, 36.125, 9.595984492556846e-23, 9.580653364494123e-23 
-7.375, 36.125, 9.130248574619168e-23, 9.114926837340017e-23 
-7.125, 36.125, 1.6042835460253243e-22, 1.6014377320821713e-22 
-6.875, 36.125, 1.5484667089404632e-22, 1.5455662819799228e-22 
-6.625, 36.125, 4.615334544126972e-23, 4.606223537338351e-23 
-6.375, 36.125, 3.4318345726909326e-23, 3.424783004172912e-23 
-6.125, 36.125, 6.329501131570588e-23, 6.316088216680822e-23 
-5.875, 36.125, 7.710277917491974e-23, 7.69331661221395e-23 
-5.625, 36.125, 1.281874624030089e-22, 1.2789252990954213e-22 
-5.375, 36.125, 1.4094948882405051e-22, 1.4060532975782245e-22 
-5.125, 36.125, 8.926618101137155e-23, 8.903267080233674e-23 
-4.875, 36.125, 9.388418704473118e-23, 9.362640816974114e-23 
-4.625, 36.125, 1.377519641284293e-22, 1.3735999190024133e-22 
-4.375, 36.125, 1.2775895707404298e-22, 1.2737979860666173e-22 
-4.125, 36.125, 8.373888034163179e-23, 8.347850440140108e-23 
-3.875, 36.125, 6.605538940173228e-23, 6.584094115960612e-23 
-3.625, 36.125, 9.682433867364297e-23, 9.649730075730729e-23 
-3.375, 36.125, 9.93725964364689e-23, 9.902144334372126e-23 
-3.125, 36.125, 6.364586058219259e-23, 6.340961233687095e-23 
-2.875, 36.125, 7.032626782091518e-23, 7.005407561383899e-23 
-2.625, 36.125, 7.159293297130316e-23, 7.130532608818695e-23 
-2.375, 36.125, 4.0101745740356883e-23, 3.993432407569182e-23 
-2.125, 36.125, 4.005776825080114e-23, 3.9883664628781226e-23 
-1.875, 36.125, 5.820036171251271e-23, 5.793724057815695e-23 
-1.625, 36.125, 1.3203117257321745e-22, 1.3141094443328376e-22 
-1.375, 36.125, 3.167251387423303e-22, 3.1519493491292054e-22 
-1.125, 36.125, 3.9838688360047456e-22, 3.9642511760221683e-22 
-0.875, 36.125, 4.672857175106567e-22, 4.64934308945183e-22 
-0.625, 36.125, 5.540843393117964e-22, 5.512243636519737e-22 
-0.375, 36.125, 5.194263986718098e-22, 5.166752714827665e-22 
-0.125, 36.125, 1.1176386918850925e-22, 1.1115624190844858e-22 
0.125, 36.125, 1.2126340932240613e-22, 1.2058274864306596e-22 
0.375, 36.125, 2.8598822409200654e-22, 2.8431716580501687e-22 
0.625, 36.125, 3.115342422187971e-22, 3.096543756708881e-22 
0.875, 36.125, 8.91543472586154e-23, 8.860285870965532e-23 
-21.625, 36.375, 1.5479866638948935e-23, 1.5427209594908148e-23 
-21.375, 36.375, 1.7066371204166687e-23, 1.7009059322866043e-23 
-21.125, 36.375, 1.0045543469580941e-23, 1.0012262286367547e-23 
-20.875, 36.375, 1.4428501970101785e-23, 1.4381351310087962e-23 
-20.625, 36.375, 1.809679485237744e-23, 1.8038473641133472e-23 
-20.375, 36.375, 1.0987123983813125e-23, 1.0952172814155845e-23 
-20.125, 36.375, 3.4871420936651214e-23, 3.476270324424104e-23 
-19.875, 36.375, 2.744150027268474e-23, 2.735819032402784e-23 
-19.625, 36.375, 1.0163505760846835e-23, 1.0133578548693927e-23 
