# utc [-], et [s], MEX2TGO [km], spoint_x [km], spoint_y [km], spoint_z [km], spoint_lon [deg], spoint_lat_sph [deg], spoint_lat [deg], emission_MEX [deg], emission_TGO [deg], spoint2MEX [km], spoint2TGO [km], lon_midpoint [deg], lat_midpoint [deg] 
2025 SEP 30 19:39:55, 812533264.5000739, 1029.4070790467285, -906.6793415065966, 3259.775950424612, -291.36163543200405, 105.54346213102131, -4.871836833751309, -4.921936873478777, 39.84924683721047, 39.85764052499691, 997.5394914022077, 489.8994897646008, 106.69095992973762, -6.983052098446795
2025 SEP 30 19:39:56, 812533265.5034184, 1024.1399552033167, -906.837106488952, 3259.6786316035555, -291.95182831919266, 105.54647763547342, -4.8816888484661805, -4.931921874866902, 39.61511609070449, 39.62328732804502, 996.3808365106303, 488.4720812727238, 106.69504193529019, -6.980121156433455
2025 SEP 30 19:39:57, 812533266.5067629, 1018.8935793720258, -907.0018868787505, 3259.5791781961934, -292.54272409471304, 105.54961737460046, -4.891827035955019, -4.94198975617733, 39.38054481109283, 39.3884102270254, 995.2364011042736, 487.0559433872907, 106.6991204616981, -6.977192062735287
2025 SEP 30 19:39:58, 812533267.5101074, 1013.6682968023471, -907.1604680398148, 3259.4804234786243, -293.1435854805372, 105.55265289989748, -4.901850024527028, -4.9521539593047095, 39.14544937042033, 39.1531854099117, 994.1053322025413, 485.6520491106674, 106.70319547598727, -6.974264782251806
2025 SEP 30 19:39:59, 812533268.5134518, 1008.4644492002668, -907.3256439157954, 3259.3781922046264, -293.7610921245097, 105.55581189793548, -4.912154422353497, -4.962600455145194, 38.90907237739879, 38.91898122660447, 992.9799557458399, 484.2682030996584, 106.70726701555105, -6.971339320011281
2025 SEP 30 19:40:00, 812533269.5167964, 1003.2823911858846, -907.4847942662711, 3259.2781719396485, -294.3713413442935, 105.55886265015758, -4.922339096404044, -4.972924375615999, 38.67313347748248, 38.68280508445803, 991.877772113782, 482.88704229418727, 106.71133510427471, -6.968415668814802
2025 SEP 30 19:40:01, 812533270.5201408, 998.1224817925691, -907.6443823880711, 3259.1774442805886, -294.9866025738476, 105.5619238551861, -4.932609952491265, -4.983333564407702, 38.43676971748956, 38.44620886969727, 990.7899448938002, 481.51752632081383, 106.71539973334636, -6.965493813951467
2025 SEP 30 19:40:02, 812533271.5234853, 992.985079393094, -907.8044216367208, 3259.076001813667, -295.6068833471775, 105.56499576661768, -4.942967109690779, -4.993828164180615, 38.19999237338588, 38.20920784240493, 989.7165751521954, 480.1596823097757, 106.71946092889937, -6.962573749340435
2025 SEP 30 19:40:03, 812533272.5268297, 987.8705588141142, -907.9649074101573, 3258.973845057064, -296.2321589908573, 105.56807830906483, -4.953410161829034, -5.004407771700268, 37.96281551683188, 37.971813981223534, 988.657787388963, 478.81351363997794, 106.7235187023808, -6.959655465197471
2025 SEP 30 19:40:04, 812533273.5301743, 982.7792942079052, -908.1326288553512, 3258.8694943019655, -296.8579247713667, 105.57128897398029, -4.964133705900241, -5.015072957576988, 37.72527468519066, 37.734003309090205, 987.6139063880955, 477.47882625316356, 106.7275730929396, -6.9567389654594365
2025 SEP 30 19:40:05, 812533274.5335188, 977.7116657729549, -908.2938559621227, 3258.7659066338715, -297.4935795819762, 105.57439032164913, -4.974742102271502, -5.025826534141363, 37.487319623943044, 37.49590144039989, 986.5844336710385, 476.1562362420933, 106.73162406469511, -6.953824216219103
2025 SEP 30 19:40:06, 812533275.5368632, 972.6680617563422, -908.4554166467926, 3258.6616509158225, -298.13396909050795, 105.57750025355305, -4.9854322439784795, -5.036660744234255, 37.24902306270923, 37.25742040089098, 985.5700475980079, 474.84519565844903, 106.73567165516613, -6.950911220522356
2025 SEP 30 19:40:07, 812533276.5402077, 967.648874788302, -908.6174230714128, 3258.55667571917, -298.77927884383604, 105.58062083548236, -4.996207245753723, -5.04757874872042, 37.01038504127739, 37.01860138052957, 984.5707231134816, 473.5458576627629, 106.73971590222446, -6.947999980989947
2025 SEP 30 19:40:08, 812533277.5435522, 962.6545080978318, -908.7798842733047, 3258.4509751175833, -299.4295121956733, 105.58375224395635, -5.007067161175462, -5.058580621662249, 36.77141955628327, 36.77946161788748, 983.5865582455822, 472.25824190817315, 106.74375677134847, -6.9450904653273255
