# utc [-], et [s], MEX2TGO [km], spoint_x [km], spoint_y [km], spoint_z [km], spoint_lon [deg], spoint_lat_sph [deg], spoint_lat [deg], emission_MEX [deg], emission_TGO [deg], spoint2MEX [km], spoint2TGO [km], lon_midpoint [deg], lat_midpoint [deg] 
2024 FEB 11 01:55:58, 760888627.4504597, 5587.48797390994, 1577.0032375630656, -149.37785446779446, 2986.4570172243402, -5.411060670909594, 62.386744282360766, 62.05781650068669, 13.98329309270144, 13.993097501790508, 5972.399923405902, 440.0230474914796, 6.815275821314383, 61.160991323625204
2024 FEB 11 01:55:59, 760888628.4521291, 5588.09789593693, 1578.9759051095002, -148.50260181740413, 2985.469904704672, -5.372860593028739, 62.350995499870734, 62.021803572705565, 13.943362625150641, 13.952724277318177, 5973.241413666391, 439.9343768083798, 6.82112087383067, 61.15446834707609
2024 FEB 11 01:56:00, 760888629.4537987, 5588.714658525749, 1580.9472897901778, -147.62330182386995, 2984.4817928851608, -5.334609962341772, 62.315226175852885, 61.98579391545863, 13.903671722905637, 13.91324188451127, 5974.085930925249, 439.84738138287724, 6.826962768960195, 61.14794567969128
2024 FEB 11 01:56:01, 760888630.455468, 5589.338261900401, 1582.9195909824514, -146.74421083396248, 2983.491319656636, -5.296454306906427, 62.279440912436975, 61.94974442203969, 13.864322513402094, 13.874108996766891, 5974.934394698797, 439.761144254483, 6.832801531071134, 61.141423316311425
2024 FEB 11 01:56:02, 760888631.4571375, 5589.968705926561, 1584.8908019528617, -145.8689438534698, 2982.4993601820856, -5.258529600482447, 62.24364289660085, 61.913683772194645, 13.825420242916747, 13.83476732913053, 5975.787742760331, 439.67472977039586, 6.838637140938823, 61.134901271106564
2024 FEB 11 01:56:03, 760888632.458807, 5590.605990794767, 1586.8620675348102, -144.98989344731814, 2981.505681889917, -5.220558857247039, 62.20782552931868, 61.87760354062827, 13.78676690325644, 13.796322301992566, 5976.644132902888, 439.5899775799593, 6.844469564229523, 61.12837956571604
2024 FEB 11 01:56:04, 760888633.4604764, 5591.250116362903, 1588.8328103697725, -144.11082292040726, 2980.510403986409, -5.182678728983602, 62.171992292118006, 61.84150811087481, 13.748464831283231, 13.758231078258298, 5977.504478191891, 439.5059738572651, 6.8502988804123435, 61.121858173238955
2024 FEB 11 01:56:05, 760888634.4621458, 5591.901082670657, 1590.803027185693, -143.23173375776219, 2979.513527532005, -5.144888954691854, 62.13614327919655, 61.80539756233132, 13.710516983694717, 13.720497083735516, 5978.368779561147, 439.4227188990555, 6.856125035089136, 61.11533712538968
2024 FEB 11 01:56:06, 760888635.4638153, 5592.558889679823, 1592.7707911013622, -142.35632683409722, 2978.51589544661, -5.10732743088861, 62.100280564570774, 61.769299125684974, 13.673028992760193, 13.682558078998424, 5979.237968263793, 439.3392834154143, 6.861948071577664, 61.10881640694784
2024 FEB 11 01:56:07, 760888636.4654847, 5593.223537022735, 1594.7399845424577, -141.47727586529197, 2977.5158040247015, -5.0697197945319195, 62.0643998968182, 61.733157831599065, 13.635799962036533, 13.645537714507975, 5980.110194641407, 439.2575138847311, 6.86776795002062, 61.10229604183087
2024 FEB 11 01:56:08, 760888637.4671541, 5593.895024727142, 1596.708644059643, -140.59821900366694, 2976.5141158633814, -5.032202019940489, 62.028503635203606, 61.69700160565019, 13.598934232739882, 13.60888184666162, 5980.986381002248, 439.1764878572188, 6.873584694685588, 61.09577603031672
2024 FEB 11 01:56:09, 760888638.4688237, 5594.57335287572, 1598.6763242188867, -139.7229943754902, 2975.5108887935976, -4.994911683925718, 61.99259296829432, 61.66083257761811, 13.56253564691873, 13.57203830281034, 5981.8674341663545, 439.0953012876902, 6.879398329345575, 61.08925636463313
2024 FEB 11 01:56:10, 760888639.4704931, 5595.258520650488, 1600.6439198716525, -138.843984638155, 2974.506002034521, -4.957574585701186, 61.956665390052294, 61.6246464203319, 13.52640683117225, 13.536111250016594, 5982.751552008859, 439.0157523307214, 6.885208836730148, 61.08273706144654
2024 FEB 11 01:56:11, 760888640.4721625, 5595.950528300603, 1602.6109747452253, -137.96496234628734, 2973.499520797565, -4.920326168810837, 61.92072241872613, 61.588445531524755, 13.490649935820288, 13.500558776727885, 5983.639628871955, 438.93694955250504, 6.8910161774038095, 61.07621814248236
2024 FEB 11 01:56:12, 760888641.473832, 5596.649375372178, 1604.5771039165268, -137.08973419809672, 2972.4914763592406, -4.883302225241836, 61.88476428135197, 61.55223107898266, 13.455367757153086, 13.464833713034816, 5984.532555679403, 438.858001481195, 6.896820436398404, 61.069699578407544
2024 FEB 11 01:56:13, 760888642.4755014, 5597.355061609681, 1606.541655617, -136.2106253341351, 2971.482568193276, -4.846232151655184, 61.848790350196865, 61.51602479740589, 13.420365540684884, 13.430026985759847, 5985.428567403844, 438.78067039871047, 6.902621556331484, 61.063181403396506
