-87.5	2.5	    50.0
-87.5	7.5	    50.0
-87.5	12.5	50.0
-87.5	17.5	50.0
-87.5	22.5	50.0
-87.5	27.5	50.0
-87.5	32.5	50.0
-87.5	37.5	50.0
-87.5	42.5	50.0
-87.5	47.5	50.0
-87.5	52.5	50.0
-87.5	57.5	50.0
-87.5	62.5	50.0
-87.5	67.5	50.0
-87.5	72.5	50.0
-87.5	77.5	50.0
-87.5	82.5	50.0
-87.5	87.5	50.0
-87.5	92.5	50.0
-87.5	97.5	50.0
-87.5	102.5	50.0
-87.5	107.5	50.0
-87.5	112.5	50.0
-87.5	117.5	50.0
-87.5	122.5	50.0
-87.5	127.5	50.0
-87.5	132.5	50.0
-87.5	137.5	50.0
-87.5	142.5	50.0
-87.5	147.5	50.0
-87.5	152.5	50.0
-87.5	157.5	50.0
-87.5	162.5	50.0
-87.5	167.5	50.0
-87.5	172.5	50.0
-87.5	177.5	50.0
-87.5	182.5	50.0
-87.5	187.5	50.0
-87.5	192.5	50.0
-87.5	197.5	50.0
-87.5	202.5	50.0
-87.5	207.5	50.0
-87.5	212.5	50.0
-87.5	217.5	50.0
-87.5	222.5	50.0
-87.5	227.5	50.0
-87.5	232.5	50.0
-87.5	237.5	50.0
-87.5	242.5	50.0
-87.5	247.5	50.0
-87.5	252.5	50.0
-87.5	257.5	50.0
-87.5	262.5	50.0
-87.5	267.5	50.0
-87.5	272.5	50.0
-87.5	277.5	50.0
-87.5	282.5	50.0
-87.5	287.5	50.0
-87.5	292.5	50.0
-87.5	297.5	50.0
-87.5	302.5	50.0
-87.5	307.5	50.0
-87.5	312.5	50.0
-87.5	317.5	50.0
-87.5	322.5	50.0
-87.5	327.5	50.0
-87.5	332.5	50.0
-87.5	337.5	50.0
-87.5	342.5	50.0
-87.5	347.5	50.0
-87.5	352.5	50.0
-87.5	357.5	50.0
-82.5	2.5	    45.0
-82.5	7.5	    45.0
-82.5	12.5	45.0
-82.5	17.5	45.0
-82.5	22.5	45.0
-82.5	27.5	45.0
-82.5	32.5	45.0
-82.5	37.5	45.0
-82.5	42.5	45.0
-82.5	47.5	45.0
-82.5	52.5	45.0
-82.5	57.5	45.0
-82.5	62.5	45.0
-82.5	67.5	45.0
-82.5	72.5	45.0
-82.5	77.5	45.0
-82.5	82.5	45.0
-82.5	87.5	45.0
-82.5	92.5	45.0
-82.5	97.5	45.0
-82.5	102.5	45.0
-82.5	107.5	45.0
-82.5	112.5	45.0
-82.5	117.5	45.0
-82.5	122.5	45.0
-82.5	127.5	45.0
-82.5	132.5	45.0
-82.5	137.5	45.0
-82.5	142.5	45.0
-82.5	147.5	45.0
-82.5	152.5	45.0
-82.5	157.5	45.0
-82.5	162.5	45.0
-82.5	167.5	45.0
-82.5	172.5	45.0
-82.5	177.5	45.0
-82.5	182.5	45.0
-82.5	187.5	45.0
-82.5	192.5	45.0
-82.5	197.5	45.0
-82.5	202.5	45.0
-82.5	207.5	45.0
-82.5	212.5	45.0
-82.5	217.5	45.0
-82.5	222.5	45.0
-82.5	227.5	45.0
-82.5	232.5	45.0
-82.5	237.5	45.0
-82.5	242.5	45.0
-82.5	247.5	45.0
-82.5	252.5	45.0
-82.5	257.5	45.0
-82.5	262.5	45.0
-82.5	267.5	45.0
-82.5	272.5	45.0
-82.5	277.5	45.0
-82.5	282.5	45.0
-82.5	287.5	45.0
-82.5	292.5	45.0
-82.5	297.5	45.0
-82.5	302.5	45.0
-82.5	307.5	45.0
-82.5	312.5	45.0
-82.5	317.5	45.0
-82.5	322.5	45.0
-82.5	327.5	45.0
-82.5	332.5	45.0
-82.5	337.5	45.0
-82.5	342.5	45.0
-82.5	347.5	45.0
-82.5	352.5	45.0
-82.5	357.5	45.0
-77.5	2.5	    40.0
-77.5	7.5	    40.0
-77.5	12.5	40.0
-77.5	17.5	40.0
-77.5	22.5	40.0
-77.5	27.5	40.0
-77.5	32.5	40.0
-77.5	37.5	40.0
-77.5	42.5	40.0
-77.5	47.5	40.0
-77.5	52.5	40.0
-77.5	57.5	40.0
-77.5	62.5	40.0
-77.5	67.5	40.0
-77.5	72.5	40.0
-77.5	77.5	40.0
-77.5	82.5	40.0
-77.5	87.5	40.0
-77.5	92.5	40.0
-77.5	97.5	40.0
-77.5	102.5	40.0
-77.5	107.5	40.0
-77.5	112.5	40.0
-77.5	117.5	40.0
-77.5	122.5	40.0
-77.5	127.5	40.0
-77.5	132.5	40.0
-77.5	137.5	40.0
-77.5	142.5	40.0
-77.5	147.5	40.0
-77.5	152.5	40.0
-77.5	157.5	40.0
-77.5	162.5	40.0
-77.5	167.5	40.0
-77.5	172.5	40.0
-77.5	177.5	40.0
-77.5	182.5	40.0
-77.5	187.5	40.0
-77.5	192.5	40.0
-77.5	197.5	40.0
-77.5	202.5	40.0
-77.5	207.5	40.0
-77.5	212.5	40.0
-77.5	217.5	40.0
-77.5	222.5	40.0
-77.5	227.5	40.0
-77.5	232.5	40.0
-77.5	237.5	40.0
-77.5	242.5	40.0
-77.5	247.5	40.0
-77.5	252.5	40.0
-77.5	257.5	40.0
-77.5	262.5	40.0
-77.5	267.5	40.0
-77.5	272.5	40.0
-77.5	277.5	40.0
-77.5	282.5	40.0
-77.5	287.5	40.0
-77.5	292.5	40.0
-77.5	297.5	40.0
-77.5	302.5	40.0
-77.5	307.5	40.0
-77.5	312.5	40.0
-77.5	317.5	40.0
-77.5	322.5	40.0
-77.5	327.5	40.0
-77.5	332.5	40.0
